"name","rank_overall","rank_presence","rank_impact","rank_open","rank_excellence"
"University of Sheffield","141","1369","176","102","121"
"McMaster University","142","652","174","37","164"
"Università degli Studi di Roma La Sapienza","143","202","364","127","64"
"University of Notre Dame","144","327","90","154","306"
"University of Kansas","144","518","122","177","216"
"Georgetown University","146","411","63","160","381"
"Case Western Reserve University","147","876","145","105","189"
"Newcastle University Newcastle upon Tyne","148","599","161","139","171"
"(2) Tel Aviv University","149","244","215","116","147"
"University of South Florida","150","177","83","162","351"
"Karlsruhe Institute of Technology (Universität Karlsruhe)","151","189","169","183","170"
"University of New Mexico","152","287","112","181","267"
"Universidad Nacional Autónoma de México","152","4","110","179","331"
"Universität Wien","154","102","119","220","266"
"Université de Geneve","155","419","168","114","190"
"University of Auckland","156","175","202","140","178"
"Universität Hamburg","157","213","194","427","135"
"University of Missouri Columbia","158","574","97","145","334"
"Rheinisch Westfalische Technische Hochschule Aachen","159","181","190","217","176"
"Karolinska Institute / Karolinska Institutet","159","670","445","69","69"
"Rheinische Friedrich Wilhelms Universität Bonn","161","606","211","230","149"
"Università degli Studi di Padova","162","141","402","99","85"
"University of Cincinnati","163","667","150","163","225"
"Wageningen University & Research Centre","164","86","300","112","141"
"Washington State University Pullman","165","369","74","210","394"
"Université de Montréal","165","298","183","130","205"
"Royal Institute of Technology / Kungliga Tekniska Högskolan","167","240","191","219","188"
"Università degli Studi di Milano","168","374","371","110","98"
"Western University (University of Western Ontario)","169","429","188","148","206"
"Wuhan University / 武汉大学","169","247","243","448","131"
"George Mason University","171","489","61","202","480"
"University of Houston","172","613","104","141","360"
"Technical University of Denmark / Danmarks Tekniske Universitet","173","197","308","150","150"
"University of Exeter","174","803","199","123","202"
"Nanjing University / 南京大学","175","766","315","337","95"
"University of Alabama Birmingham","176","864","239","178","162"
"Queen Mary University of London","177","806","267","121","160"
"University of Oregon","177","354","85","151","442"
"University of Gothenburg / Göteborgs Universitet","179","105","266","137","200"
"Universität Bern","180","416","275","200","156"
"University of South Carolina","181","636","132","167","299"
"London School of Economics and Political Science","182","483","89","147","440"
"University of Bergen / Universitetet i Bergen","183","75","195","233","255"
"University of York","184","378","162","125","303"
"Wayne State University","185","813","173","232","239"
"City University of Hong Kong","186","648","298","159","166"
"Northeastern University","187","800","127","487","288"
"(1) Norwegian University of Science & Technology / Norges Teknisk-Naturvitenskapelige Universitet","188","145","260","247","209"
"Queen's University Kingston","189","793","133","166","348"
"University of Oklahoma","190","1052","143","321","290"
"Hong Kong University of Science & Technology","190","593","255","158","211"
"Universidad Complutense de Madrid","192","109","220","169","270"
"Stony Brook University","193","982","269","87","208"
"Osaka University / 大阪大学","194","220","346","173","163"
"Freie Universität Berlin","195","256","135","332","338"
"Harbin Institute of Technology / 哈尔滨工业大学","196","216","470","344","92"
"Université d'Ottawa / University of Ottawa","197","630","241","212","219"
"Stockholm University / Stockholms Universitet","198","301","323","190","182"
"Technische Universität Dresden","199","576","271","295","193"
"Università degli Studi di Napoli Federico II","200","333","505","168","111"
"ranking","","","","",""
"University of Victoria British Columbia","200","382","134","266","363"
"Hebrew University of Jerusalem","200","235","222","95","296"
"Huazhong University of Science & Technology / 华中科技大学","203","4035","432","348","71"
"Charles University in Prague / Univerzita Karlova v Praze UK","204","13","251","588","218"
"M D Anderson Cancer Center University of Texas","205","3324","478","48","107"
"Universidade do Porto","205","63","327","290","196"
"Virginia Commonwealth University","207","898","158","231","317"
"Queensland University of Technology","208","579","231","195","254"
"Universität Freiburg","209","368","244","274","236"
"Universitat Autònoma de Barcelona","210","112","383","336","158"
"Xi'An Jiaotong University / 西安交通大学","210","336","449","350","119"
"Hong Kong Polytechnic University","212","659","375","205","159"
"Linköping University / Linköpings Universitet","213","364","179","327","304"
"Curtin University of Technology","214","906","274","204","221"
"York University","215","330","129","251","421"
"Shandong University / 山东大学","215","388","351","554","140"
"Universität Tubingen","217","453","290","192","232"
"Eindhoven University of Technology / Technische Universiteit Eindhoven","218","321","233","249","279"
"Louisiana State University","218","408","130","270","402"
"(1) Universitat de València","218","97","325","240","227"
"Cardiff University","221","1085","335","194","185"
"Brigham Young University","222","45","76","307","615"
"Lomonosov Moscow State University / Московский государственный университет М В Ломоносова","223","53","213","577","277"
"Trinity College Dublin","224","290","216","199","318"
"University of Central Florida","224","630","142","203","395"
"Erasmus University of Rotterdam / Erasmus Universiteit Rotterdam","226","688","583","373","76"
"University of Liverpool","227","1539","350","293","154"
"Humboldt Universität zu Berlin","228","224","206","366","295"
"Drexel University","229","839","136","284","384"
"Aalto University / Aalto-yliopisto","230","163","273","305","258"
"University of Colorado Denver","231","1075","360","146","192"
"Università di Pisa (Università degli Studi di Pisa)","232","447","374","238","187"
"Universität Münster","233","350","304","411","204"
"Dalhousie University","233","813","209","216","307"
"University of Twente / Universiteit Twente","235","535","204","242","323"
"University of Leicester","236","276","201","261","339"
"Tohoku University / 東北大学","237","385","424","201","181"
"Universidad de Granada","238","103","317","182","269"
"(1) Korea Advanced Institute of Science & Technology KAIST","238","140","382","221","217"
"Indiana University/Purdue University Indianapolis","240","813","234","361","274"
"Universität zu Köln","240","458","219","364","301"
"Macquarie University","242","593","263","175","297"
"University of Saint Andrews","243","482","172","239","382"
"Radboud University / Radboud Universiteit Nijmegen","244","436","366","176","224"
"National and Kapodistrian University of Athens","245","305","446","74","220"
"Sun Yat Sen University (Zhongshan University) / 中山大学","246","3776","452","403","108"
"Georgia State University","247","906","114","225","511"
"University of California Davis","248","258","41","7356","53"
"Technische Universität Berlin","249","415","214","289","347"
"Tongji University / 同济大学","250","1509","431","536","138"
"Politecnico di Milano","250","490","370","275","226"
"University College Dublin","252","695","339","226","246"
"Université de Paris XI / Université Paris Sud (comUE Université Paris Saclay)","253","1456","588","314","110"
"Universidade de Lisboa","254","295","576","340","135"
"Universidade Estadual de Campinas UNICAMP","254","115","340","186","300"
"Université Laval","256","321","296","164","328"
"Johannes Gutenberg Universität Mainz","257","763","372","280","223"
"Florida International University","258","510","171","281","412"
"University of Texas Dallas","259","1264","257","207","320"
"University of Technology Sydney","260","1045","309","218","273"
"University of Sussex","261","936","262","244","322"
"University of Wollongong","262","538","321","248","284"
"Università degli Studi di Torino","263","253","554","213","175"
"Baylor College of Medicine","263","2323","600","62","152"
"University of Manitoba","265","741","264","287","325"
"Georg-August-Universität Göttingen","266","219","305","593","261"
"Nagoya University / 名古屋大学","267","599","415","222","231"
"Griffith University","268","1104","362","211","240"
"Università degli Studi di Firenze","269","532","552","174","180"
"Tianjin University / 天津大学","270","1849","536","494","118"
"Universidad Autónoma de Madrid","271","339","461","257","211"
"Deakin University","272","924","385","250","237"
"Chalmers University of Technology","273","422","292","299","330"
"RMIT University","274","1456","242","313","343"
"Universidade Federal do Rio de Janeiro","275","318","278","325","349"
"University of Cape Town","276","458","418","229","251"
"(1) Friedrich Alexander Universität Erlangen Nürnberg FAU","276","526","545","323","169"
"Oregon Health & Science University","278","1115","466","196","214"
"Universität Basel","278","436","437","208","253"
"Xiamen University / 厦门大学","280","280","344","591","250"
"Aristotle University of Thessaloniki","281","153","341","324","314"
"Technion Israel Institute of Technology","282","490","420","188","268"
"Southeast University / 东南大学","283","727","571","451","151"
"Universitat Politècnica de Catalunya BarcelonaTech","284","115","322","342","344"
"University of Aberdeen","285","885","312","227","329"
"University of Surrey","286","515","235","279","403"
"University of Saskatchewan","287","772","207","255","428"
"University of Vermont","287","736","156","262","516"
"Umea University / Umeå Universitet","289","579","291","355","341"
"Durham University","290","398","232","1614","245"
"Clemson University","291","1023","154","303","508"
"Sichuan University / 四川大学","291","677","520","802","145"
"Weizmann Institute of Science","293","292","439","117","319"
"Universität Leipzig","294","500","302","404","336"
"Universität Würzburg","294","596","458","319","235"
"Aalborg University / Aalborg Universitet","296","163","488","341","237"
"Beihang University (Beijing University of Aeronautics and Astronautics) / 北京航空航天大学","297","780","511","645","165"
"Université de Strasbourg","298","694","448","339","241"
"Rensselaer Polytechnic Institute","299","828","139","245","584"
"University of Alabama","299","755","165","311","513"
"ranking","","","","",""
"University of East Anglia","301","1125","319","246","345"
"Queen's University Belfast","302","891","378","317","293"
"Nankai University / 南开大学","303","1032","524","504","179"
"Jilin University / 吉林大学","304","718","565","682","155"
"Université de Lausanne","304","515","403","197","325"
"Boston College","306","614","118","243","667"
"Beijing Normal University / 北京师范大学","306","1174","428","652","215"
"Universidad Politécnica de Valencia","308","147","337","391","364"
"(1) Yonsei University / 연세대학교","309","151","713","318","183"
"Central South University (Zhongnan University) / 中南大学","309","565","664","677","134"
"West Virginia University","311","836","192","372","476"
"University of Guelph","312","744","247","252","454"
"Lancaster University","313","2008","425","215","279"
"Hokkaido University / 北海道大学","314","328","400","322","327"
"Kyushu University / 九州大学","314","490","464","405","260"
"University of Bath","316","987","276","283","413"
"Universität Duisburg Essen","316","638","412","477","286"
"University of North Texas","316","16","147","377","673"
"Universidad Politécnica de Madrid","319","229","279","459","422"
"University of Southampton","320","1719","299","3646","101"
"University of Ljubljana / Univerza v Ljubljani","321","48","407","542","332"
"Keio University / 慶応義塾大学","322","145","237","668","440"
"San Diego State University","323","946","160","286","592"
"Universidad de Sevilla","324","71","401","271","385"
"South China University of Technology / 华南理工大学","325","1023","718","602","142"
"University of Texas Southwestern Medical Center at Dallas","326","2678","768","82","173"
"University of New Hampshire","326","722","138","412","620"
"University of Newcastle","328","1269","440","236","320"
"University of Reading","328","885","306","312","401"
"(1) Korea University / 고려대학교","330","378","775","235","191"
"Université Catholique de Louvain","331","449","639","144","264"
"Université de Lyon I / Université Claude Bernard (comUE Université de Lyon)","331","1040","579","353","222"
"Universidad de Chile","333","69","352","414","405"
"Utah State University","334","620","155","385","606"
"Carleton University","335","752","238","389","485"
"École Normale Supérieure ENS Paris (comUE Université Paris PSL)","336","1199","355","306","362"
"Oklahoma State University Stillwater","336","780","177","396","557"
"University of Otago","338","1142","436","241","337"
"Wake Forest University","338","1216","303","629","355"
"Dalian University of Technology / 大连理工大学","340","356","633","680","199"
"University at Albany","341","1335","217","346","501"
"Tulane University","342","1075","227","273","521"
"Universität Stuttgart","343","670","285","375","444"
"Universidade de Coimbra","344","172","434","383","367"
"Auburn University","344","767","181","333","578"
"Tokyo Institute of Technology / 東京工業大学","346","522","516","297","305"
"Texas Tech University","346","1023","240","357","498"
"Università degli Studi di Genova","346","741","596","288","256"
"Charité Universitätsmedizin Berlin","349","1555","933","223","139"
"Universidade Estadual Paulista Júlio de Mesquita Filho","350","138","532","193","354"
"Universitat Pompeu Fabra","351","474","380","267","410"
"University of Texas Arlington","352","885","226","352","526"
"University of Louisville","353","1115","283","367","461"
"Christian Albrechts Universität zu Kiel","354","572","386","388","387"
"Technische Universität Darmstadt","355","682","389","378","386"
"Friedrich Schiller Universität Jena","356","688","540","298","315"
"University of Tsukuba / 筑波大学","357","429","433","463","371"
"University of Wisconsin Milwaukee","358","568","218","397","572"
"University of Dundee","358","1494","359","224","426"
"National Tsing Hua University Taiwan / 國立清華大學","360","393","406","381","398"
"University of Southern Denmark / Syddansk Universitet","361","800","631","294","278"
"Loughborough University","362","876","330","276","475"
"National Cheng Kung University","363","210","423","395","418"
"Universidade Federal do Rio Grande do Sul UFRGS","364","95","451","368","415"
"Université de Paris VII / Université Paris Diderot (comUE Université Sorbonne Paris Cité)","365","1321","1086","641","93"
"Università degli Studi di Roma Tor Vergata","366","774","692","278","272"
"University College Cork","367","953","392","291","431"
"Soochow University / 苏州大学","368","1622","785","475","194"
"National Chiao Tung University","369","174","338","450","507"
"Concordia University Montréal","370","854","288","335","533"
"Open University UK","371","688","196","360","659"
"Universidad de Zaragoza","371","278","491","296","409"
"University of Tasmania","373","734","499","254","389"
"University of Strathclyde","374","763","398","356","436"
"Beijing Institute of Technology / 北京理工大学","375","1001","606","660","265"
"London School of Hygiene & Tropical Medicine","375","1115","862","198","234"
"Universität Bremen","377","767","316","416","518"
"Université d’Aix Marseille / Aix Marseille Université","378","882","1311","310","120"
"University of South Australia","379","1749","494","326","370"
"Sorbonne Université","380","1128","2065","753","28"
"University of Malaya","381","791","994","462","177"
"Ruhr Universität Bochum","381","791","353","1804","309"
"Università degli Studi di Trento","383","885","568","309","366"
"Universität Innsbruck","384","876","404","386","463"
"Universidad de Buenos Aires","385","107","457","479","465"
"Kent State University","386","1010","186","439","693"
"La Trobe University","386","1383","453","302","435"
"Kansas State University","388","682","258","1511","452"
"University of Mississippi","389","987","387","551","455"
"Universität Ulm","390","1181","592","413","350"
"University of Warsaw / Uniwersytet Warszawski","391","423","365","783","471"
"Baylor University","392","882","178","532","717"
"National Technical University of Athens","393","522","472","400","456"
"Politecnico di Torino","393","602","577","449","377"
"Chongqing University / 重庆大学","395","1475","656","857","249"
"University of Antwerp / Universiteit Antwerpen","396","885","953","282","244"
"University of Kent","397","990","333","387","570"
"James Cook University","398","1090","522","285","437"
"Lanzhou University / 兰州大学","399","882","512","818","359"
"Maastricht University / Universiteit Maastricht","400","1829","850","106","313"
"ranking","","","","",""
"Southern Methodist University","401","1178","198","454","724"
"Universidade Federal de Minas Gerais UFMG","402","179","593","292","449"
"University of Turku / Turun yliopisto","402","557","636","442","373"
"East China Normal University / 华东师范大学","404","552","508","714","391"
"Old Dominion University","405","1199","193","458","730"
"Hanyang University / 한양대학교","406","197","883","351","308"
"University of Arkansas Fayetteville","407","1010","246","417","680"
"Ben Gurion University of the Negev","408","378","611","329","423"
"Flinders University","409","1594","473","328","464"
"University of Massachusetts Medical School at Worcester","410","1785","618","185","408"
"Universität Hannover","411","806","363","457","558"
"Brandeis University","412","1449","228","362","713"
"University of Oulu / Oulun yliopisto","413","788","539","421","432"
"Universität des Saarlandes","414","857","490","599","430"
"Heinrich Heine Universität Düsseldorf","415","1433","689","569","333"
"Università degli Studi di Pavia","416","990","970","269","285"
"(1) University of Chinese Academy of Sciences / 中国科学院大学","417","1819","2179","1295","26"
"Université de Paris V / Université Paris Descartes (comUE Université Sorbonne Paris Cité)","418","471","1176","610","194"
"Portland State University","419","263","182","425","893"
"Universidad del País Vasco / Euskal Herriko Unibertsitatea","419","142","929","584","298"
"Rochester Institute of Technology","421","502","128","576","988"
"Philipps Universität Marburg","422","1104","570","488","424"
"Masaryk University in Brno / Masarykova Univerzita v Brně MU","423","7","395","712","610"
"University of Nevada Reno","424","1284","256","354","741"
"Stellenbosch University","425","614","627","379","447"
"University of Maryland Baltimore County","425","697","249","446","758"
"Universidade do Minho","427","540","679","401","419"
"King Saud University","428","638","1117","524","230"
"Université de Bordeaux (ComUE d'Aquitaine)","429","1456","907","345","302"
"Northwestern Polytechnical University / 西北工业大学","430","1023","819","742","287"
"Justus Liebig Universität Giessen","431","1979","662","478","380"
"Western Sydney University","431","1634","622","409","416"
"University of the Witwatersrand","433","1135","778","444","357"
"University of Canterbury","434","1075","421","492","565"
"University of Tartu / Tartu Ülikool","435","115","537","410","556"
"Universität Regensburg","436","638","483","1063","438"
"Mississippi State University","437","964","268","605","717"
"University of Tehran","438","166","1084","539","282"
"Pohang University of Science & Technology / 포항공과대학교","439","502","845","374","382"
"Memorial University of Newfoundland","440","857","384","465","631"
"China Agricultural University / 中国农业大学","440","1188","645","791","379"
"College of William & Mary","442","697","253","548","783"
"University of Texas San Antonio","443","1342","444","435","574"
"Universität Potsdam","444","518","550","510","523"
"Jyväskylä University / Jyväskylän yliopisto","444","259","549","434","554"
"Universität Bielefeld","446","209","427","482","648"
"Universidade Nova de Lisboa","446","508","695","394","466"
"University of Pretoria","448","401","624","514","492"
"Université du Québec Montréal","449","462","416","496","638"
"Czech Technical University in Prague / České vysoké učení technické v Praze ČVUT","449","204","454","908","554"
"Universidade Federal de Santa Catarina UFSC","451","97","468","502","632"
"University of Wyoming","452","1580","326","509","674"
"Michigan Technological University","453","1255","223","573","823"
"Universidade de Santiago de Compostela","454","127","801","304","467"
"University of Belgrade / Универзитет у Београду / Univerzitet u Beogradu","454","82","952","708","346"
"University of Nevada Las Vegas","456","964","280","486","778"
"Loyola University Chicago","457","828","282","734","712"
"Montana State University","457","1188","265","491","798"
"Brunel University","459","1749","582","359","503"
"Saint Louis University","460","1902","373","550","622"
"University of North Carolina Charlotte","461","1169","336","469","701"
"Università degli Studi di Milano Bicocca","461","990","1119","272","316"
"Saint Petersburg State University / Санкт Петербургский государственный университет","463","194","443","694","620"
"New Mexico State University","464","974","229","630","836"
"(1) Sungkyunkwan University / 성균관대학교","465","682","1734","258","201"
