"name","rank_overall","rank_presence","rank_impact","rank_open","rank_excellence"
"Warsaw School of Economics / Szkoła Główna Handlowa w Warszawie","2284","1906","2296","1451","3525"
"Universidad Autónoma de Chile","2284","4331","5928","1541","1993"
"Universidade Paulista UNIP","2286","4134","2969","2182","2914"
"Université Saint Joseph de Beyrouth","2286","825","2912","5850","2222"
"Wrocław University of Environmental and Life Sciences (Agricultural University) / Uniwersytet Przyrodniczy we Wrocławiu","2288","3535","6602","2003","1773"
"Norfolk State University","2288","9454","1762","4312","2879"
"University of Detroit Mercy","2288","4216","1880","3158","3238"
"Kaunas University of Technology / Kauno technologijos universitetas","2291","1657","3302","5585","2089"
"Katholische Universität Eichstätt Ingolstadt","2291","2795","3275","3213","2651"
"Dublin Institute For Advanced Studies DIAS","2291","2813","4213","3208","2254"
"Universidad Nacional de Asunción","2294","242","2722","3290","3092"
"Altai State University / Алтайский государственный университет","2295","734","2985","2006","3189"
"Indiana University South Bend","2296","8160","2864","3808","2535"
"Kumoh National Institute of Technology / 금오공과대학교","2296","4260","4536","1942","2357"
"University of Constantinus the Philosopher in Nitra / Univerzita Konštantína Filozofa v Nitre","2298","964","4393","3700","2194"
"Saitama Medical University / 埼玉医科大学","2298","5850","5227","5012","1448"
"Scottish Association for Marine Science","2300","16892","5826","1547","1797"
"Hashemite University","2300","3231","5804","1482","2105"
"Universidade de Caxias do Sul","2302","2236","3877","1929","2729"
"University of Kalyani","2304","10443","4644","2090","2178"
"Asahikawa Medical University / 旭川医科大学","2305","2906","4505","4112","1979"
"Universitas Negeri Semarang","2306","604","1817","1718","3839"
"Panteion University of Political and Social Sciences","2306","3915","2631","2813","2997"
"University of Lapland / Lapin yliopisto / Lapplands Universitet","2308","2159","3604","2287","2774"
"University of Michigan Dearborn","2308","6538","2102","7356","1568"
"University of Wisconsin River Falls","2310","5898","2436","4117","2729"
"Chongqing Jiaotong University / 重庆交通大学","2310","3855","2559","6654","1950"
"Webster University","2312","3100","742","4408","3979"
"Jimma University","2313","11127","3803","2512","2418"
"(1) Lanzhou University of Technology (Gansu University of Technology) / 兰州理工大学","2313","5138","2828","7356","1346"
"Universidade do Sul de Santa Catarina UNISUL","2315","1849","3508","2482","2804"
"Hanbat National University / 한밭대학교","2315","1958","5541","1788","2202"
"Indiana University System","2317","344","109","228","6084"
"Civil Aviation University of China / 中国民航大学","2317","3957","2049","6670","2171"
"Cape Peninsula University of Technology","2319","3794","4209","1795","2609"
"Shahid Sadoughi University of Medical Sciences","2320","1289","5768","1744","2194"
"(1) Shanghai University of Traditional Chinese Medicine / 上海中医药大学","2321","4808","3539","7240","1246"
"Louisiana State University Shreveport","2322","9006","2144","3673","2914"
"Ton Duc Thang University / Đại học Tôn Đức Thắng Thành phố Hồ Chí Minh","2323","3350","9346","1882","1330"
"Centrale Lille","2323","21309","6377","4646","1059"
"Zayed University","2323","7956","4463","1250","2556"
"University of South Florida St Petersburg","2326","6566","2082","7356","1610"
"University of Cumbria","2326","5590","1866","2618","3412"
"Tuskegee University","2328","11261","2121","3041","3068"
"Imam Khomeini International University Qazvin","2328","3464","7453","2236","1626"
"National Kaohsiung Normal University","2330","1684","3074","4581","2547"
"Islamic Azad University South Tehran","2330","3281","7967","2284","1517"
"Bahauddin Zakariya University","2332","8952","7558","1377","1673"
"Jan Kochanowski University of Humanities and Sciences (Swietokrzyska Pedagogical University) / Uniwersytet Humanistyczno Przyrodniczy Jana Kochanowskiego w Kielcach","2332","3083","5118","2824","2105"
"Texas A&M International University","2335","3915","1417","3117","3653"
"Indian Institute of Technology Ropar","2336","3820","6883","1520","1907"
"University of Western Macedonia","2336","2425","5263","1937","2268"
"Universiti Malaysia Terengganu","2338","2511","7041","1354","1962"
"University of Baghdad","2339","410","7133","1892","1973"
"Wuhan Textile University / 武汉纺织大学","2340","4674","2820","6634","1886"
"Hogeschool van Amsterdam HvA","2341","2739","2174","2096","3495"
"Kunsan National University / 군산대학교","2341","2504","5067","2428","2243"
"Chongqing Normal University / 重庆师范大学","2343","3690","1790","7356","1867"
"Delhi Technological University","2344","3612","7485","2422","1610"
"Arab Academy for Science & Technology and Maritime Transport","2345","2906","4983","1863","2383"
"Bohai University / 渤海大学","2345","7871","4714","6566","1234"
"Pontificia Universidad Católica Argentina","2345","1475","2602","2020","3412"
"Medical University of Bialystok / Uniwersytet Medyczny w Białymstoku","2345","3387","6421","2977","1736"
"Yarmouk University","2345","302","5415","1512","2547"
"Europa Universität Viadrina Frankfurt Oder","2350","3776","2902","3592","2785"
"Texas A&M University Galveston","2350","8488","3420","1464","2956"
"Union College Schenectady NY","2352","3167","990","2014","4274"
"University of Karachi","2352","10752","6630","1456","1859"
"Menzies School of Health Research","2354","11940","7978","1626","1517"
"Bath Spa University","2354","7089","2213","2791","3220"
"University of Mauritius","2356","2021","5795","2205","2118"
"Ngee Ann Polytechnic","2356","9723","4285","4082","2000"
"Minia University","2358","2001","8445","1329","1729"
"Universidad del Valle Cali","2358","960","2204","7356","1821"
"University of West London (Thames Valley University)","2360","3886","2869","2220","3141"
"ranking","","","","",""
"Vet Agro Sup / Institut d'Enseignement Supérieur et de Recherche en Alimentation Santé animale sciences agronomiques et de environnement (comUE Université de Lyon)","2360","7549","6566","3698","1492"
"Hertie School of Governance","2360","6204","3773","2747","2582"
"Payam Noor University","2360","710","4325","7356","1106"
"Liaocheng University / 聊城大学","2364","6759","2307","7356","1578"
"Université de Lyon III / Université Jean Moulin Lyon III (comUE Université de Lyon)","2365","2131","2757","3263","3042"
"Vlerick Leuven Gent Management School","2366","7594","4424","2421","2349"
"Université Paris 1 Panthéon-Sorbonne","2366","2831","3109","7356","1403"
"Harbin Normal University / 哈尔滨师范大学","2366","6664","2006","7356","1711"
"University of Southern Indiana","2369","3666","1946","2819","3471"
"Tamil Nadu Agricultural University","2369","2935","4026","1463","2879"
"Islamic Azad University Najafabad","2371","3194","8626","1890","1527"
"Instituto Tecnológico Autónomo de México","2371","1902","3185","2028","3166"
"Kharazmi University (Tarbiat Moallem University Tehran)","2373","1132","8511","1552","1729"
"Kazan National Research Technological University / Казанский национальный исследовательский технологический университет","2373","2027","3982","5362","2035"
"EDHEC Business School (comUE Université Côte d'Azur)","2375","3492","3107","3081","2863"
"Pontificia Universidad Católica del Ecuador","2375","321","4770","2208","2651"
"Iona College","2377","10578","1816","3736","3166"
"Regent University","2378","6098","1008","3495","3926"
"University of Alaska Anchorage","2378","2669","6473","2975","1793"
"Ahmadu Bello University","2378","1919","5758","1945","2218"
"Alfaisal University","2378","4243","7710","2312","1607"
"Maharaja Sayajirao University of Baroda","2382","4605","6076","1567","2123"
"Winthrop University","2382","3531","1165","3507","3839"
"Medical University of Lublin / Uniwersytet Medyczny w Lublinie","2384","5109","6719","3343","1600"
"Université de Bordeaux III / Université Bordeaux Montaigne (ComUE d'Aquitaine)","2385","3242","4569","3162","2289"
"University of Scranton","2385","3012","1582","2631","3764"
"Tokyo University of Marine Science & Technology / 東京海洋大学","2385","3504","4359","2941","2405"
"Chatham University","2389","5705","1480","3691","3525"
"Hebei University of Engineering / 河北工程大学","2390","6385","2332","6555","2163"
"Kyorin University / 杏林大学","2390","3307","4166","6013","1753"
"Universidad Distrital Francisco José de Caldas","2390","885","3026","1954","3358"
"(3) Harvard University Harvard Business School","2393","1640","107","256","6084"
"Moscow State University of Civil Engineering / Московский Государственный Строительный Университет","2393","3177","4799","4779","1871"
"Zhongnan University of Economics and Law / 中南财经政法大学","2393","1684","2943","6247","2210"
"Winona State University","2396","3787","1329","4246","3566"
"Zhejiang Ocean University / 浙江海洋大学","2396","4930","3390","5956","2007"
"Institute of Chemical Technology","2399","16507","9564","1282","1288"
"Fayetteville State University","2399","6204","2681","2642","3122"
"University of the District of Columbia","2401","6566","1844","3411","3358"
"Minufiya University","2401","2200","9421","1499","1541"
"Qassim University","2403","5552","5672","1467","2259"
"Hochschule Furtwangen","2403","6033","1276","3734","3653"
"National Institute of Technology Durgapur (Regional Engineering College)","2405","10343","7512","1650","1705"
"Xi'An University of Science & Technology / 西安科技大学","2405","4403","2393","7356","1652"
"Telkom University / Universitas Telkom","2405","479","811","7356","2937"
"Universidade de Fortaleza UNIFOR","2405","4002","4851","1674","2535"
"Universidad de la República","2409","3489","4716","7356","960"
"Kansai Medical University / 関西医科大学","2410","5343","5464","3293","1945"
"Jadavpur University","2411","7631","5796","7356","702"
"Tyumen State University / Тюменский государственный университет","2411","2199","3974","2549","2754"
"Sahand University of Technology Tabriz","2411","5403","9194","1880","1417"
"Shenyang Agricultural University / 沈阳农业大学","2414","6925","2248","6897","2043"
"Hamline University","2414","4170","974","3902","3979"
"Université Abou Bekr Belkaid Tlemcen","2414","774","5355","2035","2462"
"Lawrence Technological University","2417","8553","1987","3115","3333"
"Government College University Faisalabad","2418","9375","8949","1455","1506"
"University of Opole / Uniwersytet Opolski","2419","2298","3834","2259","2879"
"Bucharest Academy of Economic Studies","2419","2169","1210","7356","2405"
"Carol Davila University of Medicine and Pharmacy","2421","6275","10083","1654","1293"
"Qilu University of Technology / 齐鲁工业大学","2421","14080","5724","3538","1683"
"Alagappa University","2423","8662","7612","1972","1673"
"Ternopil National Economy University / Тернопільський національний економічний університет","2423","1001","1208","1509","4389"
"Universidad Nacional de Río Cuarto","2425","2734","4933","2149","2489"
"Al Balqa Applied University","2425","148","7590","1536","2163"
"University of Wisconsin Stevens Point","2427","1606","730","2903","4534"
"Karunya University","2428","9905","6202","2002","1971"
"Universidade Estadual do Centro Oeste UNICENTRO","2429","3148","3459","1730","3166"
"Southampton Solent University","2430","5082","2219","3329","3282"
"Baqiyatallah Medical Sciences University","2430","3823","9136","2201","1448"
"Universidad de las Fuerzas Armadas ESPE (Escuela Politécnica del Ejército)","2430","95","5510","2306","2535"
"(1) Hiroshima Institute of Technology / 広島工業大学","2433","5109","3559","7356","1299"
"Université du Havre / Université Le Havre Normandie (comUE Normandie Université)","2433","6759","4281","2320","2582"
"University of Mysore","2435","5611","5566","1533","2340"
"Università di Macerata (Università degli Studi di Macerata)","2435","1529","3105","2520","3238"
"Universidade Eduardo Mondlane","2437","414","3022","5879","2527"
"University of Allahabad","2437","11880","5799","2829","1881"
"École Nationale Vétérinaire de Toulouse (comUE Université de Toulouse)","2437","11975","6893","2218","1747"
"Universidade Estácio de Sá","2440","2544","3320","2266","3141"
"Truman State University","2440","2390","1229","4128","3797"
"National Institute of Technology Warangal","2440","10725","7069","1492","1902"
"Nanjing Institute of Technology / 南京工程学院","2440","5924","1825","7073","2210"
"University of Kurdistan Sanandaj","2440","1555","8488","1471","1848"
"Kochi University of Technology / 高知工科大学","2445","3460","4110","3270","2568"
"University of Sistan and Baluchestan","2446","2610","6910","1902","2041"
"Robert Morris University","2446","5898","3140","2652","3018"
"Susquehanna University","2448","6823","1169","4393","3653"
"International Medical University","2449","7871","6011","1665","2163"
"Cardinal Stefan Wyszynski University Warsaw / Uniwersytet Kardynała Stefana Wyszyńskiego w Warszawie","2450","1539","3317","3718","2879"
"Bellarmine University","2451","4515","1496","4642","3438"
"Universitas Pendidikan Indonesia","2451","429","677","7356","3257"
"Visvesvaraya National Institute of Technology","2453","7420","7608","1681","1821"
"Suan Sunandha Rajabhat University","2453","844","1101","2679","4332"
"Hebei Agricultural University / 河北农业大学","2455","4746","1966","7356","1938"
"NYU Abu Dhabi","2455","9255","3154","7356","1384"
"Centro de Investigación y Docencia Económicas","2455","4390","4111","2088","2804"
"Universidad Autónoma de Ciudad Juárez","2458","2589","4490","1870","2774"
"Universidad de los Lagos","2458","3829","2723","2859","3257"
"Universidad Católica de Valencia San Vicente Mártir","2462","2868","4538","2410","2651"
"Jacobs University Bremen","2462","4143","12171","1018","1153"
"Moscow Power Engineering Institute / Национальный исследовательский университет МЭИ","2462","2396","3019","3806","2956"
"ranking","","","","",""
"Jan Evangelista Purkyně University in Ústí nad Labem / Univerzita Jana Evangelisty Purkyně v Ústí nad Labem UJEP","2466","1606","3560","3974","2754"
"Fujian University of Technology / 福建工程学院","2466","3675","2514","6170","2462"
"Islamic Azad University Tehran Central","2469","718","8499","2045","1814"
"National Technical University Kharkiv Polytechnical Institute / Национальный технический университет Харьковский политехнический институт","2469","1090","4465","1436","3018"
"Muroran Institute of Technology / 室蘭工業大学","2469","4117","4654","3485","2312"
"Unitec New Zealand","2472","4619","2715","3090","3189"
"University of California Hastings College of the Law","2472","2896","1201","3752","3926"
"Universidad del Cauca","2474","1085","3837","2082","3122"
"Universidad de San Carlos de Guatemala","2474","121","1368","4037","4031"
"Klaipėda University / Klaipėdos universitetas","2476","2070","3732","3351","2804"
"Institut d'Optique Graduate School IOGS ParisTech (comUE Université Paris Saclay)","2477","9082","7326","1319","1973"
"Universiti Pendidikan Sultan Idris","2477","1829","4005","1815","3068"
"Beni Suef University","2477","4515","11287","1182","1306"
"Ehime University / 愛媛大学","2477","1622","12308","1255","1193"
"Universidad del Rosario","2481","946","2264","7356","2000"
"Liaoning Normal University / 辽宁师范大学","2481","4746","1839","7356","2025"
"Southeast Missouri State University","2481","3513","1406","2971","3979"
"Indian Institute of Technology Patna","2484","5498","7596","1627","1918"
"Jilin Agricultural University / 吉林农业大学","2485","6454","1906","7356","1956"
"Universidade Federal do Estado do Rio de Janeiro UNIRIO","2485","1174","4819","2391","2687"
"Bashkir State University / Башкирский государственный университет","2487","2806","3374","2830","3068"
"Tabuk Universtiy","2487","4808","6446","3216","1859"
"Plovdiv University Paisii Hilendarski / Пловдивски университет Паисий Хилендарски","2489","3406","4812","2154","2623"
"Wonkwang University / 원광대학교","2490","2415","7515","2902","1787"
"Zhejiang University of Science & Technology / 浙江科技学院","2491","5031","2026","6153","2696"
"Changwon National University / 창원대학교","2492","1646","6383","2553","2141"
"Xavier University of Louisiana","2493","6848","2806","2938","3166"
"Mokpo National University / 목포대학교","2493","3787","5975","2922","2075"
"Universidad Autónoma de Sinaloa","2495","3039","7015","1888","2075"
"University of Fort Hare","2495","7274","4653","1932","2637"
"King Saud bin Abdulaziz University for Health Sciences","2498","8719","7795","2018","1747"
"Yanbian University / 延边大学","2499","10813","1590","7356","2075"
"National Chin Yi University of Technology / 國立勤益科技大學網站","2500","1456","3472","4491","2729"
"Southern Utah University","2501","4485","1921","2658","3718"
"Tokyo Denki University / 東京電機大学","2501","3724","3322","3258","2973"
"Universidad de Mondragon Mondragon Unibertsitatea","2503","3489","3530","2825","3018"
"University of Ruhuna","2504","1966","8107","2168","1859"
"Dong Eui University / 동의대학교","2504","1776","4006","4755","2428"
"Taif University","2504","5264","7312","2958","1758"
"Anhui University of Science & Technology / 安徽理工大学","2507","4961","1967","7356","2009"
"Georgia College & State University","2507","4056","1323","2876","4073"
"Kurukshetra University","2507","6135","4237","1922","2834"
"University of Botswana","2510","836","5451","2399","2547"
"Mbarara University of Science and Technology","2510","3637","4728","4023","2259"
"Louisiana State University Agricultural Center","2512","3312","2272","7356","1934"
"Konan University / 甲南大学","2512","3242","4400","3039","2637"
"Capital University of Economics & Business / 首都经济贸易大学","2514","4390","1678","6332","2879"
"University of Mohaghegh Ardabili","2515","1657","9363","1557","1767"
"Hochschule für Technik und Wirtschaft Berlin","2515","2868","1728","3021","3839"
"(1) Indian Institute of Science Education and Research Bhopal","2515","5963","8539","1403","1814"
"Milwaukee School of Engineering","2518","6664","1524","3814","3691"
"Prince Sattam bin Abdulaziz University","2518","1944","7977","1926","1962"
"Tomsk State University of Control Systems and Radioelectronics / Томский государственный университет систем управления и радиоэлектроники","2518","1441","3988","2702","2973"
"Nord University","2521","2213","5703","1428","2637"
"Indian Institute of Engineering Science and Technology Shibpur (Bengal Engineering and Science University)","2522","4278","10528","1393","1468"
"Saint George's University","2522","2890","4084","3765","2637"
"Guangxi University for Nationalities / 广西民族大学","2524","1829","1676","7356","2312"
"St Marianna University School of Medicine / 聖マリアンナ医科大学","2525","5705","5445","4717","1837"
"National Institute of Technology Kurukshetra (Regional Engineering College)","2525","5761","8237","1747","1821"
"Zanjan University of Medical Sciences","2527","1403","6603","1746","2357"
"(2) Centro Agronómico Tropical de Investigación y Enseñanza","2527","3575","4358","2753","2729"
"Bishop's University","2529","6385","2614","2775","3382"
"Tianjin University of Traditional Chinese Medicine / 天津中医药大学","2530","5498","2426","7356","1843"
"Beijing Information Science & Technology University / 北京信息科技大学","2530","6405","3113","5525","2471"
"Hebei University of Science & Technology / 河北科技大学","2532","4790","1821","7356","2137"
"Merrimack College","2533","5850","1616","2680","3926"
"Universidade Federal do Triangulo Mineiro UFTM","2533","4632","6478","1810","2243"
"University of Houston Downtown","2533","4596","2517","2778","3495"
"International University of Health and Welfare / 国際医療福祉大学","2537","4320","4856","4388","2163"
"University of La Verne","2537","7194","1457","2369","4073"
"Belarusian National Technical University / Белорусский национальный технический университет","2537","813","4324","1713","3166"
"Universidade Estadual de Santa Cruz UESC","2540","3372","5179","1702","2720"
"National Taichung University","2541","1518","3207","4226","2997"
"Alliant International University","2542","5981","3650","3574","2785"
"Aswan University","2542","11734","6313","2191","2075"
"Universidad de la Sabana","2542","2053","3726","2084","3257"
"Yunnan Agricultural University / 云南农业大学","2542","4640","1535","7356","2340"
"Universität Luzern","2542","4194","3956","3654","2706"
"Allameh Tabatabai University","2547","1045","4784","2396","2819"
"Universidade Federal do Rio Grande FURG","2547","1142","3599","7356","1603"
"University West / Högskolan Väst","2549","4222","4862","2418","2651"
"Punjab Agricultural University Ludhiana","2549","10243","7226","823","2275"
"Nara Women's University / 奈良女子大学","2551","3387","3992","4799","2438"
"California State University Monterey Bay","2552","4007","1313","2204","4274"
"Universidade Federal do Pampa UNIPAMPA","2552","1701","7129","1488","2340"
"Universidade Federal da Grande Dourados UFGD","2554","2938","4703","1670","2914"
"British University in Egypt","2556","10133","8040","2547","1679"
"Fuller Theological Seminary","2556","5363","2378","3910","3306"
"Pázmány Péter Catholic University Budapest / Pázmány Péter Katolikus Egyetem PPKE","2556","2989","4014","2356","3042"
"Virginia State University","2556","7786","1951","3236","3626"
"Wakayama Medical College / 和歌山県立医科大学","2556","7311","6312","4425","1705"
"Jomo Kenyatta University of Agriculture and Technology","2561","911","5805","1596","2720"
"University of Nova Gorica / Univerza v Novi Gorici","2561","2377","6439","4113","1895"
"Pomeranian Medical University / Pomorski Uniwersytet Medyczny w Szczecinie","2561","3756","7334","3589","1767"
"Wuhan Polytechnic University / 武汉轻工大学","2564","5665","2402","7356","1902"
"Austin Peay State University","2564","5151","1499","3729","3839"
"China West Normal University / 西华师范大学","2564","4306","2954","7356","1715"
"European University Cyprus","2564","1539","5235","1985","2754"
"Southwestern University","2564","4979","1859","3335","3718"
"Fukuoka Institute of Technology / 福岡工業大学","2569","2912","3784","4515","2667"
"ranking","","","","",""
"Jiangxi Agricultural University / 江西农业大学","2569","5343","2150","7356","2009"
"Djillali Liabes university of Sidi Bel Abbes","2571","2585","9179","2011","1747"
"Nara Medical University / 奈良県立医科大学","2572","5498","5702","5041","1773"
"(3) Auburn University Montgomery","2573","7054","3010","2750","3282"
"Fayoum University","2573","2774","9786","1924","1633"
"Sunway University","2575","7089","5387","1825","2556"
"Universidade de Pernambuco","2576","6500","6456","1784","2275"
"Shahrekord University","2577","2621","9402","1589","1802"
"University Lucian Blaga of Sibiu","2578","3381","3755","2040","3257"
"Universidade Estadual de Montes Claros UNIMONTES","2579","3428","3568","2599","3220"
"Changchun University of Technology / 长春工业大学","2580","5640","2137","7356","2043"
"Universidad de los Andes Santiago de Chile","2581","3927","6510","2524","2194"
"Université Grenoble Alpes (Communauté Université Grenoble Alpes)","2581","1255","901","343","5178"
"Gandhi Institute of Technology and Management","2581","6823","6012","1796","2395"
"UTP University of Science and Technology Bydgoszcz / Uniwersytet Technologiczno-Przyrodniczy J i J Śniadeckich w Bydgoszczy","2584","3184","4839","2158","2804"
"Shahrood University of Technology","2584","3117","9349","1821","1763"
"Gorgan University of Agricultural Sciences and Natural Resources","2587","2789","8523","1849","1945"
"Universidad Nacional de Cuyo Mendoza","2588","1284","3705","7356","1619"
"University of Ilorin","2588","3657","6212","1245","2623"
"University of South China (Nanhua University) / 南华大学","2590","5518","3456","7356","1554"
"Open University of Hong Kong","2590","1391","2186","2957","3839"
"Universitas Mataram","2592","2633","1863","2313","4073"
"Eastern Connecticut State University","2593","9454","1846","2816","3797"
"Philadelphia University at Jordan","2593","406","1995","2857","4073"
"(4) University of Phoenix","2593","4899","311","3820","5022"
"Universidad de Sonora","2596","2943","5533","2375","2556"
"Shaoxing University / 绍兴文理学院","2596","4908","3087","7356","1708"
"Université Mohammed Premier Oujda","2596","3764","9930","4552","1113"
"MCPHS University (Massachusetts College of Pharmacy & Health Sciences)","2599","11554","3944","3827","2609"
"Osaka Medical College / 大阪医科大学","2600","6275","4782","5373","2000"
"Minzu University of China (Central University for Nationalities) / 中央民族大学","2601","4347","2178","7356","2089"
"Universidad Nacional del Nordeste","2602","1829","2884","3420","3438"
"University of Science & Technology Daejeon / 과학기술연합대학원대학교","2602","3100","11107","4939","913"
"Brandon University","2602","5279","2560","3006","3525"
"Tokyo University of Agriculture / 東京農業大学","2605","3281","4280","4293","2568"
"Xinyang Normal University / 信阳师范学院","2605","9171","4426","5909","1925"
"Huaibei Normal University (Coal Industry Normal College) / 淮北师范大学","2607","8003","2754","7356","1787"
"Saint Petersburg State Electrotechnical University / Санкт Петербургский государственный электротехнический университет","2607","3894","4930","1991","2819"
"Gubkin Russian State University of Oil and Gas / Российский государственный университет нефти и газа ИМ Губкина","2607","2105","2187","4822","3382"
"Meharry Medical College","2607","10504","4443","3572","2500"
"University of Agricultural Sciences and Veterinary Medicine Cluj Napoca","2611","2912","6391","1598","2535"
"Harper Adams University","2611","6848","4152","3084","2785"
"Immanuel Kant State University of Russia (Kaliningrad State University) / Балтийский федеральный университет И Канта","2611","2558","3623","2601","3282"
"(1) University of Medicine and Pharmacy Victor Babes Timisoara","2614","8589","8103","2356","1821"
"Università degli Studi Guglielmo Marconi","2614","7194","8178","3616","1590"
"University of Rajasthan Jaipur","2616","5070","6424","4420","1831"
"Ohio Wesleyan University","2616","5082","1100","4659","4031"
"Jiaxing University / 嘉兴学院","2616","4640","2432","7356","2009"
"Universidad CEU Cardenal Herrera","2619","3477","4230","3712","2742"
"Universidad Torcuato di Tella","2621","2645","4436","1672","3166"
"University of Wisconsin Parkside","2621","6759","2453","3063","3566"
"Morehead State University","2621","5883","2021","4255","3495"
"Université de M'Sila","2624","682","4689","2418","3042"
"(1) Catholic University of Daegu / 대구가톨릭대학교","2625","1269","7043","3619","2043"
"Kanazawa Medical University / 金沢医科大学","2626","6204","5559","4265","2069"
"Kogakuin University / 工学院大学","2627","4270","3666","4637","2729"
"Hochschule Darmstadt","2628","3054","2612","3341","3566"
"Universidad Politécnica Salesiana Ecuador","2628","63","4497","2578","3238"
"Yerevan State University","2630","894","4848","2363","2973"
"Sang Myung University / 상명대학교","2630","1606","5238","2951","2678"
"University of Prešov / Prešovská univerzita v Prešove","2630","1785","4305","3118","2937"
"Mount Saint Vincent University","2630","5331","2844","3435","3358"
"Salem State University","2630","5024","2217","3022","3718"
"University of Occupational & Environmental Health Japan / 産業医科大学","2636","5665","5184","6566","1554"
"Universitas Bina Nusantara","2637","599","3223","3479","3438"
"Lahore University of Management Sciences","2638","3281","3006","1647","3764"
"Moscow State Institute of International Relations / Московский государственный институт международных отношений (университет)","2639","960","1820","3259","4073"
"Dong-A University / 동아대학교","2640","2943","4790","7073","1513"
"Tokyo City University / 東京都市大学","2640","4497","4379","3607","2706"
"Universiti Kuala Lumpur","2640","2437","5664","1944","2720"
"National United University","2643","3004","5670","3852","2254"
"Osaka Institute of Technology / 大阪工業大学","2643","4002","4726","1330","3141"
"Universidad de Antofagasta","2645","6538","6713","2378","2210"
"Arts et Métiers ParisTech / École Nationale Supérieure d'Arts et Métiers (ex ENSAM) (comUE HESAM)","2645","11723","5619","7356","927"
"Petrozavodsk State University / Петрозаводский государственный университет","2647","1342","3355","2712","3495"
"(1) SKEMA Business School (comUE Université Côte d'Azur)","2647","7465","4082","2952","2900"
"Guizhou Normal University / 贵州师范大学","2649","6149","1955","7356","2234"
"Gauhati University","2650","9577","7151","2187","2097"
"Université de Bejaia","2651","630","9117","2043","2014"
"Universitas Sriwijaya","2651","841","2382","2126","4073"
"Universidad de Cuenca","2653","275","5394","2588","2842"
"Fachhochschule Münster","2653","2105","2512","4568","3382"
"Universidad Católica de Temuco","2655","3132","3589","3508","3141"
"University of Kerala","2656","1023","6342","2908","2428"
"Tokyo University of Technology / 東京工科大学","2657","3850","4051","3711","2842"
"(3) Dokkyo University School of Medicine / 獨協医科大学","2657","5611","4440","6214","1962"
"Jiangsu Academy of Agricultural Sciences / 江苏省农业科学院","2659","5012","5862","5646","1722"
"Guangdong Pharmaceutical University / 广东药科大学","2660","8080","3117","7356","1726"
"Guru Gobind Singh Indraprastha University","2660","6678","5515","1995","2651"
"Shenyang Aerospace University (Institute of Aeronautical Engineering) / 沈阳航空航天大学","2662","4542","4311","6292","2025"
"Mgh Institute of Health Professions","2663","10466","3690","4040","2785"
"Bryant University","2663","5226","2316","2719","3797"
"Longwood University","2665","2802","1730","4074","3886"
"Perm State Technical University / Пермский национальный исследовательский политехнический университет","2665","1104","2895","2834","3718"
"South Valley University","2667","1719","8876","1719","2080"
"Al Quds University Arab University in Jerusalem","2668","1369","4619","2105","3166"
"George Fox University","2668","3112","1240","4346","4121"
"Universidad de la Serena","2670","3571","5534","2669","2609"
"Arak University","2670","4347","8128","1707","2149"
"Shanghai Institute of Technology / 上海应用技术大学","2672","5184","3427","7356","1708"
"ranking","","","","",""
"Southwest University for Nationalities / 西南民族大学","2672","4961","1716","7356","2449"
"Universidade Federal de Alfenas UNIFAL-MG","2672","3012","7849","1299","2375"
"Universitas Riau","2672","1646","3664","2060","3566"
"Rangsit University","2676","2131","2860","2330","3797"
"Saint Xavier University","2677","7347","3316","4684","2863"
"California Lutheran University","2678","3794","2129","3828","3718"
"Islamia University Bahawalpur","2678","13289","8265","1913","1925"
"University of Cape Coast","2680","226","7487","1623","2651"
"Monash University Malaysia","2680","5924","5193","7356","1155"
"Montana Tech of University of Montana","2680","4007","2887","2965","3600"
"Shanxi Medical University / 山西医科大学","2683","5790","2945","7356","1895"
"Indian Institute of Science Education and Research Thiruvananthapuram","2684","6595","5319","1786","2804"
"University of Redlands","2685","5198","1439","3915","4073"
"Najran University","2686","3239","7634","2853","2097"
"Jianghan University / 江汉大学","2686","4410","2241","7356","2222"
"University of Louisiana at Monroe","2688","5124","2598","3601","3566"
"Da Yeh University","2688","1203","3261","6292","2687"
"Universidade Luterana do Brasil ULBRA","2690","2019","4710","2928","2956"
"Instituto Superior Politécnico de Viseu","2690","2699","4191","2790","3166"
"University of Jammu","2690","6700","7979","3395","1821"
"Universidade Estadual do Norte Fluminense Darcy Ribeiro","2693","4874","7232","1300","2527"
"University of Alaska System","2693","844","225","464","6084"
"University of Technology Iraq","2695","1069","7435","2119","2438"
"Wakayama University / 和歌山大学","2695","2197","3513","2737","3495"
"Aichi Medical University / 愛知医科大学","2698","5292","5858","5486","1848"
"Inner Mongolia Agricultural University / 内蒙古农业大学","2698","4098","2054","7356","2349"
"Higher Colleges of Technology","2700","6961","4131","1859","3282"
"Ubon Ratchathani University","2700","1311","3533","3810","3306"
"Szczecin University / Uniwersytet Szczeciński","2700","5252","5894","2802","2489"
"Cracow University of Economics / Uniwersytet Ekonomiczny w Krakowie","2703","1797","3636","2097","3626"
"Indian Institute of Information Technology Allahabad","2703","7786","5020","2240","2819"
"Federal University of Technology Akure","2705","1475","8018","1610","2405"
"Hochschule Reutlingen","2705","5924","4227","3449","2900"
"Tatung University / 大同大學","2707","2222","4576","4895","2556"
