Land,Stadt,Start,Laufzeit [Typ],"Laufzeit [min,m]","Laufzeit [max,m]",Schule-1,rank_overall,rank_presence,rank_impact,rank_open,rank_excellence,Studiengang,Schule,Beschreibung,Abschluss,Modus,Sprache,Unterrichtstyp
USA,Philadelphia,Sep,years,48,,University of the Sciences in Philadelphia,2282,8880,3500,2870,2438,BS in Data Science,University of the Sciences in Philadelphia,"The USciences Data Science bachelor’s program provides you with the knowledge, skills, and technical foundation to make sense of an avalanche of data, unlock scientific insigh                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
Mauritius,Réduit,Aug,years,,60,University of Mauritius,2356,2021,5795,2205,2118,Bachelor (Hons) in Data Science,University of Mauritius,Data Science is a rapidly growing and interdisciplinary field that consists of extracting knowledge and insights from data to help understand a problem area and make decisions                                            ...                                                    +                        ,Bachelor,Full-time,English,Campus
Cyprus,Nicosia,,years,48,,European University Cyprus,2564,1539,5235,1985,2754,Bachelor of Science in Computer Science,European University Cyprus,"The Computer Science program covers the foundations of the field in theory and practice, including the interaction between hardware and software, the human-computer interface,                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
USA,Delaware,Sep,,,,Ohio Wesleyan University,2616,5082,1100,4659,4031,Bachelor in Data Analytics,Ohio Wesleyan University,"Data analytics is a rapidly growing profession across a wide range of fields, including finance, healthcare, insurance, biomedical research, computer science, marketing, and m                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
Armenia,Yerevan,Sep,years,48,,Yerevan State University,2630,894,4848,2363,2973,Bachelor of Science in Applied Statistics and Data Science,Yerevan State University,"The 21st Century has brought new challenges in the analysis of data, and it is increasingly apparent that solutions to these are both statistical and computational. This has l                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
USA,Ada,Aug,years,48,,Ohio Northern University,3182,6362,1451,7356,3600,Bachelor Data Analytics,Ohio Northern University,"Big data drives the future. Prepare for this fast-growing field by majoring in data analytics at O.N.U. You’ll learn how to capture, store and analyze large data sets. And, yo                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
USA,Edinboro,Aug,years,48,,Edinboro University,3522,5738,1764,5128,4882,Bachelor of Science in Data Analytics,Edinboro University,"Big data is big business. Nearly every industry in the world today relies on tech-savvy individuals to capture and analyze data. Yet, there is a shortage of data scientists. E                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
USA,Madison,Aug,years,24,,Drew University,3871,4170,9516,3333,3718,Master of Science in Data Analytics,Drew University,"The digitization of information—social networks, business transactions, healthcare records and more—has transformed the world, necessitating a demand for people who understand                                            ...                                                    +                        ",Master,Full-time,English,Campus
USA,Worcester,Sep,years,48,,Assumption College,4206,8799,1618,2843,6084,Bachelor in Data Analytics,Assumption College,"Data is the basic raw material of the 21st Century. Industry, government and NGO’s can now know more about us than ever before in human history: what we buy, what we read, wha                                            ...                                                    +                        ",Bachelor,Full-time,English,Campus
USA,Erie,Sep,years,24,,Mercyhurst University,4599,6566,1812,5389,6084,Master of Science in Applied Intelligence,Mercyhurst University,"This degree provides students with the educational foundation necessary to succeed as intelligence analysts in federal national security agencies, private defense contractors,                                            ...                                                    +                        ",Master,Full-time,English,Campus
