Institution;Studiengang;Kontinent;Land;Stadt;Start;Min.Studiumsdauer [%m];Max.Studiumsdauer [%m];Abschlusstyp;Modus;Sprache;Unterrichtstyp;Beschreibung;Gesamt-Rang;Aktueller-Rang;Impact-Rang;Open-Rang;Excellence-Rang
Yerevan State University;Bachelor of Science in Applied Statistics and Data Science;Europa;Armenia;Yerevan;Sep;48;;Bachelor;Full-time;English;Campus;The 21st Century has brought new challenges in the analysis of data, and it is increasingly apparent that solutions to these are both statistical and computational. This has l                                            ...                                                    +                        ;2630;894;4848;2363;2973
Singidunum University;Master in Data Science;Europa;Serbia;Belgrade;;;;Master;Full-time;Multiple;Campus;The Data Science study program is a unique master’s degree program in Serbia, on a par with the best quality programs in Europe and the world. This program is thought in the S                                            ...                                                    +                        ;3120;2440;4787;2555;3797
Singidunum University;Bachelor in Software and Data Engineering;Europa;Serbia;Belgrade;;48;;Bachelor;Full-time;Multiple;Campus;Our Software and Data Engineering study program is precisely tailored to educate young people for these professional roles. Initially, we have reviewed hundreds of job descrip                                            ...                                                    +                        ;3120;2440;4787;2555;3797
Ohio Northern University;Bachelor Data Analytics;Nordamerika;USA;Ada;Aug;48;;Bachelor;Full-time;English;Campus;Big data drives the future. Prepare for this fast-growing field by majoring in data analytics at O.N.U. You’ll learn how to capture, store and analyze large data sets. And, yo                                            ...                                                    +                        ;3182;6362;1451;7356;3600
Frankfurt School of Finance & Management;Master in Applied Data Science (MSc);Europa;Germany;Frankfurt;Aug;;;Master;Full-time;English;Campus;The MSc in Applied Data Science is a response to the demand from across different industries for business-savvy data scientists with the collaborative skills to match. This 4-                                            ...                                                    +                        ;3345;7420;3098;7356;2997
Edinboro University;Bachelor of Science in Data Analytics;Nordamerika;USA;Edinboro;Aug;48;;Bachelor;Full-time;English;Campus;Big data is big business. Nearly every industry in the world today relies on tech-savvy individuals to capture and analyze data. Yet, there is a shortage of data scientists. E                                            ...                                                    +                        ;3522;5738;1764;5128;4882
Drew University;Master of Science in Data Analytics;Nordamerika;USA;Madison;Aug;24;;MScMSc;Full-time;English;Campus;The digitization of information—social networks, business transactions, healthcare records and more—has transformed the world, necessitating a demand for people who understand                                            ...                                                    +                        ;3871;4170;9516;3333;3718
Assumption College;Bachelor in Data Analytics;Nordamerika;USA;Worcester;Sep;48;;Bachelor;Full-time;English;Campus;Data is the basic raw material of the 21st Century. Industry, government and NGO’s can now know more about us than ever before in human history: what we buy, what we read, wha                                            ...                                                    +                        ;4206;8799;1618;2843;6084
Saint Marys University of Minnesota;Master of Science in Business Intelligence and Data Analytics;Nordamerika;USA;Winona;;;;Master;Full-time;English;Online;Master your use of big data, presentation, and business to explain the relationship between organizational problems and strategizing successful solutions. Affordable, convenie                                            ...                                                    +                        ;4250;7311;1303;7356;5178
Johnson & Wales University;Master of Science in Data Analytics;Nordamerika;USA;Providence;Sep;;;Master;;English;Campus;In a world driven by increasingly vast and complex data, employees are needed to decipher that data quickly and efficiently to help companies make more-informed business decis                                            ...                                                    +                        ;4431;4278;1532;7356;5341
Saint Ambrose University;Bachelor of Science in Data Science and Analytics;Nordamerika;USA;Davenport;Aug;48;;Bachelor;Full-time;English;Campus;If you love working with and manipulating numbers, analyzing outcomes, and helping others understand how data can work for them, a degree in Data Science and Analytics from St                                            ...                                                    +                        ;4464;7509;1680;4691;6084
Lewis University;MS in Data Science - Computational Biology and Bioinformatics;Nordamerika;USA;Romeoville;Sep;24;;Master;Part-time;English;Online;Customize your online MS in Data Science degree with a concentration in Computational Biology and Bioinformatics. This concentration looks at data analysis from the perspectiv                                            ...                                                    +                        ;4470;6700;1621;4982;6084
Lewis University;MS in Data Science;Nordamerika;USA;Romeoville;Sep;24;;Master;Part-time;English;Online;Discover the meaning within big data with an online MS in Data Science. Customize your education and choose from 2 concentration options in Computational Biology & Bioinfo                                            ...                                                    +                        ;4470;6700;1621;4982;6084
Lewis University;MS in Data Science - Computer Science;Nordamerika;USA;Romeoville;Sep;24;;Master;Part-time;English;Online;Customize your online MS in Data Science degree with a concentration in Computer Science. This concentration approaches data analysis from a programming perspective and prepar                                            ...                                                    +                        ;4470;6700;1621;4982;6084
Malmö University;Master in Computer Science: Applied Data Science;Europa;Sweden;Malmö;Aug;24;;Master;Full-time;English;Campus;This interdisciplinary two-year master’s program will provide you with an understanding of the state-of-the-art methods and algorithms of data science through hands-on experie                                            ...                                                    +                        ;4484;1701;3760;1727;6084
Skolkovo Institute of Science and Technology Skoltech;Master of Science in Data Science;Asien;Russia;Moscow;Sep;24;;Master;Full-time;English;Campus;Data scientists are going to be among the most demanded specialists on the hi-tech market. Our program is created to meet this demand and to equip the most talented young scie                                            ...                                                    +                        ;4559;6362;4068;1113;6084
Mercyhurst University;Master of Science in Applied Intelligence;Nordamerika;USA;Erie;Sep;24;;Master;Full-time;English;Campus;This degree provides students with the educational foundation necessary to succeed as intelligence analysts in federal national security agencies, private defense contractors,                                            ...                                                    +                        ;4599;6566;1812;5389;6084
Mercyhurst University;Master of Science in Data Science;Nordamerika;USA;Erie;Sep;24;;Master;Full-time;English;Campus;The data science master's degree program educates students to collect, analyze, visualize, and communicate actionable insights for data-driven business decisions. A master's d                                            ...                                                    +                        ;4599;6566;1812;5389;6084
Middlesex University Dubai;MSc Data Science;Asien;United Arab Emirates;Dubai;Sep;;;Master;Full-time;English;Campus;The role of a data scientist is rapidly becoming a required position for any company that wishes to take full advantage of the data they collect. There is an increased demand                                             ...                                                    +                        ;4686;12932;10282;5309;4215
University of Findlay;Bachelor in Computer Science;Nordamerika;USA;Findlay;Aug;48;;Bachelor;Full-time;English;Campus;Prepare yourself for technological careers needed in today’s corporations. University of Findlay Computer Science students learn object-oriented programming languages, client/                                            ...                                                    +                        ;4697;4028;2504;4991;6084
Harrisburg University;MS Analytics;Nordamerika;USA;Harrisburg;;24;;Master;Online & Campus Combined;English;Online & Campus Combined;Harrisburg University’s Master of Science (M.S.) in Analytics degree program is designed for students with a strong background in mathematics, computer science, engineering, o                                            ...                                                    +                        ;4806;9729;2795;4539;6084
Bellevue College Washington;Bachelor of Applied Science Degree Data Analytics;Nordamerika;USA;Bellevue;;;;Bachelor;;English;Campus;The Bachelor of Applied Science in Data Analytics provides graduates with the skills and knowledge needed for employment in the rapidly emerging field of data analytics, which                                            ...                                                    +                        ;4823;3756;1011;7356;6084
ESIC Business & Marketing School;Master in Big Data Management;Europa;Spain;Madrid;Oct;;;Master;Full-time;Spanish;Campus;The Master in Big Data Management is designed to provide a deep and transversal view of Big Data, specializing in the technologies used for the processing and design of data a                                            ...                                                    +                        ;4989;4339;3751;4473;6084
Offenburg University;Master in Renewable Energy and Data Engineering (RED);Europa;Germany;Offenburg;;;;Master;Full-time;Multiple;Campus;Get ready for shaping the future energy sector! The energy sector is facing huge challenges: Growing energy demand, more distributed and renewable energy sources, less central                                            ...                                                    +                        ;5026;3381;4074;4246;6084
Asian Institute of Management;Master of Science in Data Science (MSDS);Asien;Philippines;Makati;;;;Master;Full-time;English;Campus;A four-term, 14-month full-time program which includes 10-core data science modules and 15 business and or management modules, with 2 electives and 1 capstone project that req                                            ...                                                    +                        ;5065;13956;6945;5239;5178
Université Côte d’Azur ;MSc in Data Sciences;Europa;France;Nice;Sep;24;;Master;Full-time;English;Campus;"Join the most strategic field of the digital economy and learn its fundamental methods and algorithms with the ""Data Science"" MSc program at Université Côte d'Azur!                                    ";5215;3343;5882;2451;6084
Université Côte d’Azur ;MSc in Biobanks and Complex Data Management;Europa;France;Nice;;24;;Master;Full-time;Multiple;Campus;"The MSc in ""Biobanks and Complex Data Management"" opens immediate career opportunities in a variety of sectors such as human health, pharmaceutical, and biotechnology industri                                            ...                                                    +                        ";5215;3343;5882;2451;6084
Université Côte d’Azur ;MSc Mathematical Sciences for Biomedical Data and Biophysics;Europa;France;Nice;;24;;Master;Full-time;Multiple;Campus;Computational biology is a multidisciplinary approach addressing and solving current problems in biology and medicine using methodologies stemming from mathematics, physical s                                            ...                                                    +                        ;5215;3343;5882;2451;6084
New England College;Master of Science in Data Analytics and Business Statistics;Nordamerika;USA;Henniker;;;;Master;Full-time;English;Campus;With the growth of the digital age businesses and organizations have had access to unprecedented amounts of data. In order to turn this data into a competitive advantage, busi                                            ...                                                    +                        ;5435;5138;1909;7356;6084
Princess Nourah Bint Abdulrahman University;MSc in Computing (Data Analytics);Asien;Saudi Arabia;Riyadh;Sep;;;Master;Full-time;English;Campus;This program opens up opportunities for students who envision to shine in their career prospect in data analytics in acquiring in-depth skills and knowledge to analyze, proces                                            ...                                                    +                        ;5667;8003;6610;2964;6084
Medaille College;Bachelor in Applied Mathematics;Nordamerika;USA;Buffalo;May;48;;Bachelor;Full-time;English;Campus;Students will complete a program that is anchored by fundamentals of computing, programming, databases, data mining, financial risk, and analysis, which is the root of study f                                            ...                                                    +                        ;5678;10973;2069;7356;6084
Montpellier Business School;MSc in Digital Transformation;Europa;France;Montpellier;Sep;;;Master;Full-time;English;Campus;Through this program, you will understand and consider the effects of the digital revolution. The lectures, seminars and case studies all along the year will give you the tool                                            ...                                                    +                        ;5879;10375;6710;3292;6084
College of Saint Elizabeth;MS in Data Analytics;Nordamerika;USA;Morristown;Sep;;;Master;Part-time;;Campus;The Master of Science in Data Analytics Program at CSE will prepare graduates with the knowledge and skill set necessary to become analytics and data science professionals. Th                                            ...                                                    +                        ;5890;11751;2323;7356;6084
Burgundy School of Business;MSc Data Science & Organisational Behaviour;Europa;France;Dijon;Sep;;;Master;Full-time;English;Campus;The MSc Data Science & Organisational Behaviour is dedicated to students who want to manage data and influence behaviours                                    ;6126;10934;6054;4610;6084
IMC University of Applied Sciences Krems;Bachelor Informatics;Europa;Austria;Kremsander Donau;Sep;;;Bachelor;Full-time;English;Campus;"The internet of things, Industry 4.0 and social media; data mining and machine learning; the exponential growth in storage capacity and increase in cloud-based processing powe                                            ...                                                    +                        ";6317;14536;5861;5000;6084
ENSAI: National School for Statistics and Information Analysis;MSc in Statistics for Smart Data;Europa;France;Rennes;Sep;;;Master;Full-time;English;Campus;ENSAI is taking advantage of its accreditation renewal to revamp the Master of Science in Big Data program to shift its focus to Smart Data. As a result, the existing program                                             ...                                                    +                        ;8501;16081;9293;5805;6084
Botswana International University of Science  Technology;MSc Information Systems & Data Management;Afrika;Botswana;Palapye;Sep;;;Master;;English;Campus;MSc Thesis Research in Information Systems & Data Management                                    ;9085;10263;13848;2831;6084
Botswana International University of Science  Technology;BSc Information Systems & Data Management;Afrika;Botswana;Palapye;Sep;;;Bachelor;;English;Campus;This scientific discipline addresses the range of strategic, managerial, and operational activities involved in the gathering, processing, storing, distributing, and use of in                                            ...                                                    +                        ;9085;10263;13848;2831;6084
Arden University;MSc Data Analytics and Enterprise Architecture;Europa;United Kingdom;Coventry;Apr;;;Master;Full-time;English;Online;Getting ahead of change is essential in this rapidly evolving technological environment. The online MSc Data Analytics and Enterprise Architecture programme from Arden Univers                                            ...                                                    +                        ;9654;17587;6914;7356;6084
Arden University;MSc Data Analytics & Human Resource Management;Europa;United Kingdom;Coventry;Apr;;;Master;Full-time;English;Online;The modern workplace relies on data, and those with the skills to handle and interpret an organisation’s data are in high demand. This MSc Data Analytics & Human Resource                                             ...                                                    +                        ;9654;17587;6914;7356;6084
Arden University;MSc Data Analytics & Project Management;Europa;United Kingdom;Coventry;Apr;;;Master;Full-time;English;Online;The modern workplace relies on data, and those with the skills to handle and interpret an organisation’s data are in high demand. This MSc Data Analytics & Project Managem                                            ...                                                    +                        ;9654;17587;6914;7356;6084
University of Central Lancashire Cyprus;MSc Data Analytics;Europa;Cyprus;Larnaca;;;;Master;Full-time;English;Campus;Data Analytics is the science that allows decision makers to unveil new business insights by examining large amounts of data to uncover hidden patterns, correlations and other                                            ...                                                    +                        ;11448;15207;9514;7356;6084
Bologna Business School;Master in Data Science;Europa;Italy;Bologna;Nov;;;Master;Full-time;English;Campus;The Master in Data Science is designed to provide highly specialized training for those who have developed a strong interest in data processing and would like to hone that ski                                            ...                                                    +                        ;;;;;
ENyD - Escuela de Negocios y Dirección;Official Master's Degree in Management and Analysis of Large Data Volumes: Big Data;Europa;Spain;Madrid;Oct;;;Master;Part-time;Spanish;Online;The main objective of this specialized master in big data management and analysis is to be able to give the student a comprehensive and comprehensive view of data analytics, s                                            ...                                                    +                        ;;;;;
University Paris Seine;International Bachelor Modelling and Data Science for a changing World;Europa;France;Paris;;;;Bachelor;Full-time;English;Campus;Data science, cybersecurity, economic and financial engineering, artificial intelligence, quantum technologies… are all great challenges which companies face today and which r                                            ...                                                    +                        ;;;;;
emlyon business school;MSc in Digital Marketing & Data Science;Europa;France;Paris;Sep;;;Master;Full-time;English;Campus;The MSc in Digital Marketing & Data Science pedagogy uniquely combines a strong academic background in business studies, marketing, data analysis and strategy with an in‐d                                            ...                                                    +                        ;;;;;
UNIR;Master's Degree in Big Data Analysis and Visualization / Visual Analytics & Big Data;Europa;Spain;Logroño;;;;Master;Part-time;Spanish;Online;The Master in Big Data online will train you as a professional of BIG DATA, one of the most demanded professions in 2018 according to the Wanted of the Adecco Group, capable o                                            ...                                                    +                        ;;;;;
Life Learning;Online Accredited Master in Machine Learning and Data Analysis at € 199 instead of € 1000 [Last 3 places available];Europa;Italy;Milan;;;;Master;Full-time;Italian;Online;This master has only one focus: to enable those who follow it to use the Machine Learning in R. Everything then orbits around the goal of allowing students to realize their mo                                            ...                                                    +                        ;;;;;
PC Carrier;Master's Degree in Development Applications and Relational Data;Europa;Spain;A Coruña;Sep;;;Master;Online & Campus Combined;Spanish;Online & Campus Combined;Programmers are undoubtedly the most demanded professionals in the ICT sector. With this Master's we teach from 0 to carry out the automation, creation of applications and sol                                            ...                                                    +                        ;;;;;
OBS Business School;Master in Big Data and Analytics;Europa;Spain;Barcelona;May;;;Master;Full-time;Spanish;Online;The Master in Big Data and Analytics was born as a result of the union between the extensive experience in training and research, in the field of technology, which characteriz                                            ...                                                    +                        ;;;;;
OBS Business School;Master in Big Data and Analytics;Europa;Spain;Online;May;;;Master;Online & Campus Combined;Spanish;Online & Campus Combined;Change the way you analyze your organization to transform it into a data driven company. Online program with the possibility of a face-to-face stay in Barcelona.                                    ;;;;;
Erasmus School of Economics - Erasmus University Rotterdam;Master in Business Data Science;Europa;Netherlands;Rotterdam;Sep;24;;Master;Full-time;English;Campus;Business Data Science offers a Research Master’s Program with three tracks: in Quantitative Finance, Management Science and Supply Chain Analytics                                    ;;;;;
McGovern Education Group;Master of Data Science;Nordamerika;USA;Oklahoma City;Sep;;;Master;Full-time;English;Campus;The Master of Data Science is a master’s degree in data science, an interdisciplinary field that uses scientific methods, processes, algorithms, and systems to extract knowled                                            ...                                                    +                        ;;;;;
McGovern Education Group;Bachelor of Data Science;Nordamerika;USA;Oklahoma City;Sep;48;;Bachelor;Full-time;English;Campus;A Bachelor of Data Science is a four-year degree in data science, an interdisciplinary field that uses scientific methods, processes, algorithms, and systems to extract knowle                                            ...                                                    +                        ;;;;;
Innovation & Entrepreneurship Business School;Master in Business Intelligence and Data Science;Europa;Spain;Barcelona;;5;;Master;Part-time;Spanish;Online;In this Master in Business Intelligence and Data Science you will learn in a practical way to use all the tools that Big Data and Business Intelligence provide us to make stra                                            ...                                                    +                        ;;;;;
University of Illinois at Chicago College of Urban Planning and Public Affairs;Master of Science in Civic Analytics;Nordamerika;USA;Chicago;Aug;24;;Master;Full-time;English;Campus;The Master of Science in Civic Analytics is a first of its kind degree that combines study in civic technology and data analytics for those in the government and nonprofit sec                                            ...                                                    +                        ;;;;;
Asia Pacific University of Technology & Innovation (APU);MSc in Data Science and Business Analytics;Asien;Malaysia;Kuala Lumpur;Jan;;;Master;Full-time;English;Campus;This programme is designed to provide students with the knowledge and applied skills in data science, big data analytics and business intelligence. It aims to develop analytic                                            ...                                                    +                        ;;;;;
Nuclio Digital School;Intensive Master in Data Science;Europa;Spain;Barcelona;;4;;Master;Part-time;Spanish;Campus;Developed a state-of-the-art curriculum and expert instructors for our 16-week full-time immersion program                                    ;;;;;
IMT Atlantique;MSc in Information Technologies - Track in Data Science (DS);Europa;France;Brest;Sep;24;;Master;Full-time;Multiple;Campus;This MSc program is aimed at future experts in the design of high-performance support systems for data mining, knowledge extraction, and decision aiding.                                    ;;;;;
The University of Law Business School Postgraduate;Master of Data Science;Australia;Australia;Crawley;Jan;;;Master;Full-time;English;Campus;Gain the skills to tackle big data challenges and compete in the digital realm.                                    ;;;;;
The University of Law Business School Postgraduate;MSc Cyber Security and Data Governance;Europa;United Kingdom;London;Sep;;;Master;Full-time;English;Campus;The MSc Cyber Security and Data Governance course focuses on a combination of technology, business and policy. It is ideal for students who have an interest in developing an i                                            ...                                                    +                        ;;;;;
EDC Paris Business School;Master in Data Science and Business Analysis;Europa;France;Paris;Sep;60;;Master;Full-time;French,English;Campus;This major aims at training managers capable of providing solutions across the entire data chain and to support strategic decision-making based on data analysis through innova                                            ...                                                    +                        ;;;;;
EDC Paris Business School;Master of Science (M.Sc In) Data Science and Business Analysis;Europa;France;Paris;Sep;;;Master;Full-time;Multiple;Campus;Our course philosophy is to educate young professionals to become leaders with an entrepreneurial spirit through a focus on business development, new venture creation, transdi                                            ...                                                    +                        ;;;;;
CESTE Business School;Master in Data Science;Europa;Spain;Zaragoza;;;;Master;Part-time;Spanish;Campus;The Master aims to prepare professionals with a high command of the competencies associated with information technologies, experts in cutting-edge technologies in the market,                                             ...                                                    +                        ;;;;;
GISMA ULaw;MSc Cyber Security and Data Governance;Europa;Germany;Berlin;Sep;;;MScMSc;Full-time;English;Campus;The MSc in Cyber Security and Data Governance Security will teach you about today’s digital world. Through a core focus on critical problem-solving skills, the programme will                                             ...                                                    +                        ;;;;;
EC-Council University;MSCS - Security Analyst specialization;Nordamerika;USA;Albuquerque;Apr;24;;Master;Full-time;English;Online;The Security Analyst specialization focuses on testing methods and techniques to effectively identify and mitigate risks to the security of a company’s infrastructure while pr                                            ...                                                    +                        ;;;;;
Curtin University;Master of Predictive Analytics;Australia;Australia;Perth;;24;;Master;Full-time;English;Campus;This course addresses the growing demand for data analysts and scientists that have the right blend of technical and analytical skills to meet big data analytics challenges. I                                            ...                                                    +                        ;;;;;
Clarkson University Graduate School;MS in Data Analytics;Nordamerika;USA;Potsdam;Aug;;;Master;Full-time;English;Campus;The Master of Science in Data Analytics program provides you with the skills to be an effective professional in a rapidly growing field. Upon completion, you will be able to i                                            ...                                                    +                        ;;;;;
Rome Business School;Master in Data Science;Europa;Italy;Rome;Apr;;;Master;Part-time;English;Campus;Data Science is the concept to unify statistics, data analysis, machine learning and understand analyze actual phenomena with data with a scope to increase business profitabil                                            ...                                                    +                        ;;;;;
edX;MicroMasters Program in Data Science (UC San Diego);Nordamerika;USA;Cambridge;Sep;10;;Master;Full-time;English;Online;Gain the critical skills needed to become a data scientist, rated one of the best jobs in America and in demand globally.                                    ;;;;;
edX;MicroMasters Program in Statistics and Data Science (Massachusetts Institute of Technology);Nordamerika;USA;Cambridge;;15;;Master;Full-time;English;Online;This MicroMasters program in Statistics and Data Science is comprised of four online courses and a virtually proctored exam that will provide you with the foundational knowled                                            ...                                                    +                        ;;;;;
edX;Online Master in Data Science (The University of California, San Diego);Nordamerika;USA;Cambridge;Sep;;;Master;Full-time;English;Online;UCSD’s Master of Data Science will give you the skills required to become a successful data scientist. Through a rigorous curriculum developed by the world’s topmost experts i                                            ...                                                    +                        ;;;;;
edX;Online Master in Analytics (Georgia Tech);Nordamerika;USA;Cambridge;Sep;;;Master;Full-time;English;Online;The Georgia Tech Online Master of Science in Analytics (OMS Analytics) is a multidisciplinary degree in collaboration with Georgia Tech’s College of Engineering, College of Co                                            ...                                                    +                        ;;;;;
edX;MicroMasters Program in Algorithms and Data Structures (The University of California, San Diego);Nordamerika;USA;Cambridge;;;14;Master;Full-time;English;Online;Master algorithmic programming techniques necessary for top software engineering professions.                                    ;;;;;
University of Applied Sciences Europe;B.Sc. Digital Business & Data Science;Europa;Germany;Berlin;;;;BABA;Full-time;Multiple;Campus;This study program is aimed specifically at students who are curious and have the creativity to imagine and the aspiration to learn and develop something new that impact the w                                            ...                                                    +                        ;;;;;
University of Applied Sciences Europe;B.Sc. Digital Business;Europa;Germany;Hamburg;;;;BScBSc;Full-time;German;Campus;"""Big Data"" and data analytics are the foundation for big business success for (global) companies like Google, Facebook or Amazon. With our degree program Digital Business                                    ";;;;;
École Polytechnique;Economics, Data Analytics and Corporate Finance Master;Europa;France;Palaiseau;Sep;24;;Master;Full-time;English;Campus;The Economics, Data Analytics and Corporate Finance program equips students with the quantitative methodology and real-world experience required for a thorough economic traini                                            ...                                                    +                        ;;;;;
École Polytechnique;MSc Data Science For Business (Double Degree with HEC);Europa;France;Palaiseau;Sep;24;;Master;Full-time;English;Campus;Ecole Polytechnique and our partner business school HEC Paris offer a new two-year joint graduate degree program in “Data Science for Business”. It aims at training students i                                            ...                                                    +                        ;;;;;
École Polytechnique;Internet of Things: Innovation and Management Program (IoT-IM) Master;Europa;France;Palaiseau;Sep;24;;Master;Full-time;English;Campus;The Internet of Things: Innovation and Management Program (IoT-IM) Graduate Degree is based on the Ecole Polytechnique’s trademark multidisciplinary approach and provides you                                             ...                                                    +                        ;;;;;
Thomas More University of Applied Sciences;Bachelor in Information Management and Multimedia - International Data Science, Protection & Security specialization;Europa;Belgium;Mechelen;Sep;36;;Bachelor;Full-time;English;Campus;Are you passionate about the newest digital tools that help make organizations more intelligent? Do you want to learn how to filter valuable information from a mass of data, h                                            ...                                                    +                        ;;;;;
European Leadership University;Master of Science in Data Science;Europa;Netherlands;Amsterdam;;;;Master;Online & Campus Combined;English;Online & Campus Combined;The Master in Data Science programme consists of 60 ECTS credits coursework with a final project. Our programmes are flexible and work-based: Study from anywhere in the world                                             ...                                                    +                        ;;;;;
UPES;BBA Analytics and Big Data;Asien;India;Dehradun;Jul;;;Bachelor;;;;BBA Analytics and Big Data                                    ;;;;;
Ulearn;BSc (Hons) Digital & Technology Solutions (Arden University);Europa;United Kingdom;Birmingham;Apr;;48;Bachelor;Online & Campus Combined;English;Online & Campus Combined;Arden University offers a degree designed to help you fulfil this business need. The BSc (Hons) Digital and Technology Solutions Degree has 3 different specialist pathways: So                                            ...                                                    +                        ;;;;;
Charles University Faculty of Mathematics and Physics;Master in Software and Data Engineering;Europa;Czech Republic;Prague;;24;;Master;Full-time;English;Campus;The study branch Software and Data Engineering aims at expertise in the analysis, design, and development of complex software solutions and systems focused on big data process                                            ...                                                    +                        ;;;;;
IGlobal University;MSc in Data Management and Analytics;Nordamerika;USA;Vienna;Sep;;;Master;Full-time;English;Campus;The Master of Science in Information Technology (MSIT) program is designed to prepare students for the knowledge and skills essential to lead and manage small to large corpora                                            ...                                                    +                        ;;;;;
QUB Faculty of Engineering and Physical Sciences (EPS);MSc in Data Analytics;Europa;United Kingdom;Belfast;;;;Master;Full-time;English;Campus;Data Analytics is an exciting field of rapid developments. Data is everywhere and continuing to grow massively, creating huge growth in demand for qualified experts to be able                                            ...                                                    +                        ;;;;;
Ural Federal University;Master in Practical Data Analysis;Asien;Russia;Yekaterinburg;Sep;24;;Master;Full-time;English;Campus;The program focuses on various applications of data science and data analysis. You will learn how to build artificial intelligence systems using state-of-the-art machine learn                                            ...                                                    +                        ;;;;;
The Chinese University of Hong Kong - Shenzhen;B.Sc. Statistics;China;China;Shenzhen;Sep;48;;Bachelor;Full-time;English;Campus;Technological developments have facilitated massive compilations of data in many fields. While this creates opportunities for application, the collection, analysis, and interp                                            ...                                                    +                        ;;;;;
IMF Business School;Master in Data Science and Business Analytics for Professionals;Europa;Spain;Madrid;;;;Master;Full-time;Spanish;Campus;IMF Business School , in collaboration with the Nebrija University, launches the Master in Data Science and Business Analytics for professionals. This program aims to provide                                             ...                                                    +                        ;;;;;
Harbour Space;Master of Data Science;Europa;Spain;Barcelona;;24;;Master;Full-time;English;Campus;The MSc Data Science program is designed for those who desire to deepen their comprehension of all aspects of the data sciences. Applicants could be graduates from other degre                                            ...                                                    +                        ;;;;;
EIT Digital Master School;Master in Data Science (DSC);Europa;Hungary;Budapest;Aug;24;;Master;Full-time;English;Campus;Data abounds. Social media, manufacturing systems, medical devices, logistic services, and countless others generate petabytes of data on a daily basis. With a wealth of data                                             ...                                                    +                        ;;;;;
UADIN Business School;Master in Training in Industry 4.0 and Digital Transformation;Europa;Spain;Online;Sep;;;Master;Full-time;Spanish;Online;In UADIN, University of Development and Innovation, together with UDIMA, the distance University of Madrid, we want to contribute with an Integral Training for Industry 4.0 an                                            ...                                                    +                        ;;;;;
University of London;MSc in Data Science;Europa;United Kingdom;London;Apr;;;Master;Full-time;English;Online;Learn how to apply technology to real-world data science problems and gain an in-depth understanding of emerging technologies, statistical analysis and computational technique                                            ...                                                    +                        ;;;;;
Bay Atlantic University - Washington, D.C.;Bachelor of Science in Data Science;Nordamerika;USA;Washington;May;48;;Bachelor;Full-time;English;Campus;BAU’s program in Data Science integrates scientific methods from statistics, computer science, and data-based business management to extract knowledge from data and drive deci                                            ...                                                    +                        ;;;;;
Data ScienceTech Institute;Applied MSc in Data Science & Artificial Intelligence;Europa;France;Biot;;;;Master;Online & Campus Combined;English;Online & Campus Combined;This 6-month of classes and 6-month internship Applied MSc program, with its two entries in Autumn and Spring, is designed to open your career to these Big Data Analytics jobs                                            ...                                                    +                        ;;;;;
Data ScienceTech Institute;Applied MSc in Data Engineering for Artificial Intelligence;Europa;France;Biot;;;;Master;Online & Campus Combined;English;Online & Campus Combined;This 6-month of classes and 6-month internship Applied MSc program, with its two entries in Autumn and Spring, is designed to open your career to these Big Data Engineering jo                                            ...                                                    +                        ;;;;;
Contemporary Technology University;Master of Science in Data Science;Nordamerika;USA;Palo Alto;Sep;;;Master;Online & Campus Combined;;Online & Campus Combined;Become a Data Scientist by mastering the skills to interpret data, formulate insights, and communicate your knowledge by applying machine learning, managing large data sets, a                                            ...                                                    +                        ;;;;;
EAE Business School International;Master in Big Data & Analytics;Europa;Spain;Barcelona;Oct;;;Master;Full-time;English;Campus;The Master in Big Data & Analytics is a program designed to cover the extensive business demand for data analysis. New technologies are changing the world as we know it. I                                            ...                                                    +                        ;;;;;
Northern Illinois University Online;Master of Science in Data Analytics;Nordamerika;USA;De Kalb;Jun;;;Master;Full-time;English;Online;Learn to use big data to form and implement effective strategies in a management role. Northern Illinois University's online, AACSB-accredited M.S. in Data Analytics program p                                            ...                                                    +                        ;;;;;
Arden Study Centre, Berlin;MSc Data Analytics and Information Systems Management;Europa;Germany;Berlin;Jun;;;Master;Full-time;English;Campus;Big Data is going to be worth $102bn by 2019 according to IDC research which means organisations will need skilled analysts to maximise the opportunities it has to offer. This                                            ...                                                    +                        ;;;;;
Arden Study Centre, Berlin;MSc Data Analytics and Marketing;Europa;Germany;Berlin;Jun;;;Master;Full-time;English;Campus;and interpreting large sets of data, with this programme delivered and awarded by Arden University. All of the content is approved by the Chartered Institute of Marketing (CIM                                            ...                                                    +                        ;;;;;
Utica College Online;Master of Science in Data Science: Cybersecurity;Nordamerika;USA;Utica;;;;Master;Part-time;English;Online;The Online MS in Data Science - Cybersecurity teaches students how to analyze and leverage big data to deliver innovative ideas and solutions in a variety of fields. Core cour                                            ...                                                    +                        ;;;;;
Utica College Online;Master of Science in Data Science: Financial Crime;Nordamerika;USA;Utica;;;;Master;Part-time;English;Online;The Online MS in Data Science – Financial Crime teaches students how to analyze and leverage big data to deliver innovative ideas and solutions in a variety of fields. Core co                                            ...                                                    +                        ;;;;;
Utica College Online;Master of Science in Data Science: Social Science Analytics;Nordamerika;USA;Utica;;;;Master;Part-time;English;Online;The Online MS in Data Science - Social Science Analytics teaches students how to analyze and leverage big data to deliver innovative ideas and solutions in a variety of fields                                            ...                                                    +                        ;;;;;
