Institution;Studiengang;Kontinent;Land;Stadt;Start;Min.Studiumsdauer [%m];Max.Studiumsdauer [%m];Abschlusstyp;Modus;Sprache;Unterrichtstyp;Beschreibung;Gesamt-Rang;Aktueller-Rang;Impact-Rang;Open-Rang;Excellence-Rang
Aalto University  Aaltoyliopisto;Bachelor of Science in Science and Technology (SCI) - Data Science;Europa;Finland;Espoo;Aug;;60;Bachelor;Full-time;English;Campus;Data science gives you the foundations to become a top-level expert in the modern knowledge society. You will obtain the required skills to solve real-world problems using met                                            ...                                                    +                        ;230;163;273;305;258
University of Saint Andrews;MSc in Applied Statistics and Datamining;Europa;United Kingdom;Saint Andrews;Sep;;;Master;Full-time;English;Campus;The PGDip/MSc in Applied Statistics and Datamining is a commercially relevant programme of study providing students with the statistical data analysis skills needed for busine                                            ...                                                    +                        ;243;482;172;239;382
University of Saint Andrews;MSc in Data-Intensive Analysis;Europa;United Kingdom;Saint Andrews;Sep;;;Master;Full-time;English;Campus;The MSc in Data-Intensive Analysis is an interdisciplinary course providing students with an understanding of how data is used to gain useful insights in all areas of scientif                                            ...                                                    +                        ;243;482;172;239;382
Radboud University;MSc in Data Science;Europa;Netherlands;Nijmegen;Sep;24;;Master;Full-time;English;Campus;Data plays a role in almost every scientific discipline, business industry, or social organization. Learn how to use software and algorithms to turn real-world data sets into                                             ...                                                    +                        ;244;436;366;176;224
University of Bath;Online MSc in Business Analytics;Europa;United Kingdom;Bath;Sep;;;Master;Part-time;English;Online;Bridging the gap between data science and business management, the University of Bath’s Business Analytics online MSc equips you with the necessary technical skills and knowle                                            ...                                                    +                        ;316;987;276;283;413
Università degli Studi di Genova;Master of Science in Computer Science;Europa;Italy;Genoa;;24;;Master;Full-time;English;Campus;The Master of Science in Computer Science is centered on Data Science & Engineering. The backbone of the program is constituted by three core units on advanced data manage                                            ...                                                    +                        ;346;741;596;288;256
University of Louisville;MS in Health Data Analytics;Nordamerika;USA;Louisville;Aug;24;;Master;Full-time;English;Campus;The Department of Health Management and Systems Sciences views health data analytics as to the wave of the future in public health and medicine. We recognize the need to educa                                            ...                                                    +                        ;353;1115;283;367;461
University of Louisville;MS in Health Data Analytics (On-Campus);Nordamerika;USA;Louisville;Aug;24;;Master;Full-time;English;Campus;The Master of Science in Health Data Analytics (MSHDA) is a two-year program with a focus on learning about health information analysis and data management, including HIPAA an                                            ...                                                    +                        ;353;1115;283;367;461
University of South Australia;Master of Data Science;Australia;Australia;Adelaide;;24;;Master;Full-time;English;Campus;The Master of Data Science gives you current knowledge of data science techniques and research. It caters for students with a mathematics or an IT background, with courses tai                                            ...                                                    +                        ;379;1749;494;326;370
University of South Australia;Bachelor of Information Technology and Data Analytics;Australia;Australia;Adelaide;Apr;36;;Bachelor;Full-time;English;Online;Combining two highly sought after areas of technology – data analytics and information technology – this degree will help you enter the workforce, or advance your career in th                                            ...                                                    +                        ;379;1749;494;326;370
University of Antwerp;Master of Computer Science: Computer Networks and Destributed Systems (M.Sc.);Europa;Belgium;Antwerp;Sep;24;;Master;Full-time;English;Campus;This Master’s program focusses on developing skills for research and development in computer science. Students get first-hand experience in a challenging, creative, dynamic an                                            ...                                                    +                        ;396;885;953;282;244
James Cook University;Online Master of Data Science;Australia;Australia;Online;Mar;;;Master;Part-time;English;Online;Are you looking to leverage expert knowledge of data science to propel your career in business or research? James Cook University’s Master of Data Science is an innovative, fu                                            ...                                                    +                        ;398;1090;522;285;437
Maastricht University ;Bachelor in Data Science and Knowledge Engineering;Europa;Netherlands;Maastricht;Sep;36;;Bachelor;Full-time;English;Campus;Knowledge is central to modern society. Smart chips help companies keep track of goods and manage supplies and stocks. New, high-tech communication devices, such as mobile pho                                            ...                                                    +                        ;400;1829;850;106;313
Saarland University;Master in Data Science and Artificial Intelligence;Europa;Germany;Saarbrücken;;;;Master;Full-time;English;Campus;Do you want to help shape the digital future, maybe even make an important contribution to society? Then the Master’s program in Data Science and Artificial Intelligence (DSAI                                            ...                                                    +                        ;414;857;490;599;430
Rochester Institute of Technology;MSc in Professional Studies: Data Analytics;Asien;United Arab Emirates;Dubai;Sep;;;Master;Full-time;English;Campus;This program prepares participants for successful careers helping organizations make better decisions through analytics. It prepares participants to work effectively with comp                                            ...                                                    +                        ;421;502;128;576;988
University of Bordeaux;Master in Public Health Data Science;Europa;France;Bordeaux;Sep;;;Master;Full-time;English;Campus;This international Master program provides a year of international research into public health data science, from project design to real-life health data analysis and the comm                                            ...                                                    +                        ;429;1456;907;345;302
Eötvös Loránd University;MSc in Computer Science - Data Science;Europa;Hungary;Budapest;Sep;24;;Master;Full-time;English;Campus;The goal of this program is to train Computer Scientist with a professional knowledge-based on solid theoretical background knowledge. They have the skills to take part in pro                                            ...                                                    +                        ;480;393;456;402;687
Hong Kong Baptist University;MSc in Data Analytics and Business Economics (MScDABE);Asien;Hong Kong;Kowloon Tong;Sep;;;Master;Full-time;English;Campus;The Master of Science in Data Analytics and Business Economics is thoughtfully designed to serve the increasing demand for talents in the area of data analytics and business e                                            ...                                                    +                        ;480;828;480;625;590
City University of London;MSc in Data Science;Europa;United Kingdom;London;;;;Master;Full-time;English;Campus;Data science is an emerging new area of science. With City’s MSc in Data Science, you can develop the skills and knowledge to analyse data in many forms and communicate insigh                                            ...                                                    +                        ;496;1195;419;415;710
Heriot-Watt University Dubai;MSc in Data Science;Asien;United Arab Emirates;Academic City;Sep;;;Master;Full-time;English;Campus;You will learn how to model, store and process these data sets using the latest algorithms and techniques and about modern methods and tools for visually exploring them. The c                                            ...                                                    +                        ;510;1529;501;418;649
Heriot-Watt University Dubai;BSc (Hons) in Computer Science (Data Science);Asien;United Arab Emirates;Academic City;Sep;48;;Bachelor;Full-time;English;Campus;Our BSc Computer Science (Data Science) degree focuses on constructing robust and useable systems. As well as looking at cutting edge tools and techniques, it’s designed to he                                            ...                                                    +                        ;510;1529;501;418;649
Swansea University;MSc in Data Science;Europa;United Kingdom;Swansea;Sep;;;Master;Full-time;English;Campus;The MSc in Data Science gives you a solid grounding in data science concepts and technologies for extracting information and constructing knowledge from data.                                    ;523;3496;706;376;535
Université de Nantes;Master in Data Science;Europa;France;Nantes;Sep;;;Master;Full-time;English;Campus;Through this program, students will acquire the scientific and technological skills towards a data scientist profile within a computer science degree.                                    ;530;939;923;540;469
New Jersey Institute of Technology;Master of Science in Data Science;Nordamerika;USA;Newark;Sep;;;Master;;English;Campus;As data accumulates across broad sectors of industry and academia we see a need for data scientists equipped with skills to assist with data-based decision making. For example                                            ...                                                    +                        ;556;2050;486;420;808
University of Stirling;MSc in Finance and Data Analytics;Europa;United Kingdom;Stirling;Sep;;;Master;Full-time;English;Campus;As the modern financial industry increasingly turns to big data to inform investment decisions, there is a growing demand for professionals with a specialisation in data analy                                            ...                                                    +                        ;595;2008;594;490;789
University of Stirling;MSc in Data Science for Business (Online);Europa;United Kingdom;Stirling;Sep;;;Master;Part-time;English;Online;Take your place on the cutting edge of today’s evolving business landscape with our online MSc in Data Science for Business. The course equips you to become a data-driven lead                                            ...                                                    +                        ;595;2008;594;490;789
University of Stirling;BSc (Hons) Data Science;Europa;United Kingdom;Stirling;Sep;;;Bachelor;Full-time;English;Campus;This BSc (Hons) Data Science will give you an in-depth awareness and appreciation of the underlying computing and mathematical principles driving data science technologies. It                                            ...                                                    +                        ;595;2008;594;490;789
Manchester Metropolitan University;MSc in Data Science;Europa;United Kingdom;Manchester;Sep;;;Master;Full-time;English;Campus;Data can provide the insight to shape decision-making, power scientific innovation, improve business operations or inform government policy. But it takes state-of-the-art comp                                            ...                                                    +                        ;637;1701;543;657;909
Manchester Metropolitan University;MSc in Data Analytics;Europa;United Kingdom;Manchester;Sep;;;Master;Full-time;English;Campus;Data is everywhere. With the advance in digital and computing technology, our ability to collect and store information has grown exponentially. But so has our capacity to anal                                            ...                                                    +                        ;637;1701;543;657;909
Nova Southeastern University;Master of Science in Data Analytics;Nordamerika;USA;Fort Lauderdale;May;;;Master;Full-time;English;Campus;The Master of Science in Data Analytics is a 30 credit-hour degree program at Nova Southeastern University's College of Computing and Engineering. Offered online and on-campus                                            ...                                                    +                        ;724;1494;356;889;1347
University of Wroclaw;Master in Data Science;Europa;Poland;Wrocław;Oct;24;;Master;Full-time;English;Campus;Our master's program is a unique combination of solid mathematical background and computer science applications. Not only will you learn how to use tools, such as deep neural                                             ...                                                    +                        ;727;656;669;1023;986
University Bourgogne Franche-Comté;MSc in Data Analyst for Spatial and Environmental Economics (DASEE);Europa;France;Dijon;Sep;24;;Master;Full-time;English;Campus;The objective of this Master's program is to be a highly specialized and selective Master’s degree program offering an integrated view on urban/regional and environmental issu                                            ...                                                    +                        ;767;1701;1400;592;736
Tampere University;MSc in Simulation and Data Science;Europa;Cyprus;Nicosia;Oct;;;Master;Full-time;English;Campus;Simulation and Data Science is a unique course in Cyprus that combines Simulation with the new field of Data Science. As computers speed up and instruments and sensors become                                             ...                                                    +                        ;778;654;1851;618;649
Tampere University;Master's Degree Programme in Computing Science – Statistical Data Analytics;Europa;Finland;Tampere;Aug;24;;Master;Full-time;English;Campus;Statistical Data Analytics (M.Sc.) teaches you to understand data analysis and master necessary skills, such as data cleansing, integration, modelling and prediction, and inte                                            ...                                                    +                        ;778;654;1851;618;649
Tampere University;Master's Degree Programme in Computing Science – Data Science;Europa;Finland;Tampere;Aug;24;;Master;Full-time;English;Campus;Big data and data-driven methods are at the centre of modern computer science, statistics and computer engineering and hold great promise for the future. Data Science (M.Sc.)                                             ...                                                    +                        ;778;654;1851;618;649
Singapore Management University;MSc in Accounting (Data and Analytics);;;Singapore;;;;Master;Full-time;English;Campus;The MSA program is the first specialized Master’s degree in accounting data and analytics in Asia. Unlike any other postgraduate analytics program, the MSA’s data and analytic                                            ...                                                    +                        ;803;680;1027;639;1013
